gap,latency,+-
-0.35,204.75,3.91881906409863
-0.3,209.75,7.685793945418298
-0.25,203.875,3.399054490379851
-0.2,205.5,4.503966505838413
-0.15,201.125,6.468329437674439
-0.11,195.375,3.543101950067402
-0.07000000000000001,162.75,0.7071067811865476
-0.03,130.125,0.3535533905932738
0,111.625,0.5175491695067657
0.04999999999999999,95.75,0.4629100498862757
0.08999999999999997,83.5,1.195228609334394
0.11,78.875,2.416461403433896
0.15,77.5,1.927248223318863
0.19,77.875,1.552647508520297
0.3,76.75,3.770183777256185
