BST,AMR,ALR,AIR,ASR,ASO,AIO,RX,RY,RZ,RXu,RYu,RZu,SST
0.541,0,0,0,0,0,0,0,0,0,0,0,0,0.541
0.542,0,0,0,0,0,0,0,0,0,0,0,0,0.542
0.543,0.0297155,0,0,0,0,0,0,0,0,0,0,0,0.543
0.544,0.079694,0,0,0,0,0,0,0,0,0,-14.5762,0,0.544
0.545,0.13178,0,0,0,0,0,0,-0.0145762,0,0,-46.7541,0,0.545
0.546,0.179879,0,0,0,0,0,0,-0.0613303,0,0,-89.1022,0,0.546
0.547,0.222696,0,0,0,0,0,0,-0.150433,0,0,-134.574,0,0.547
0.548,0.260772,0,0.000739441,0,0,0,0,-0.285007,0,0,-178.735,0,0.548
0.549,0.293937,0,0.00538134,0,0,0,0,-0.463742,0,-0.278507,-219.455,0.0464178,0.549
0.55,0.321278,0,0.0108382,0,0,0,-0.000278131,-0.683198,4.64193e-05,-2.17306,-255.426,0.362176,0.55
0.551,0.341801,0,0.0160219,0,0,0,-0.00244688,-0.938623,0.000407381,-5.22089,-285.631,0.870148,0.551
0.552,0.354568,0,0.0206132,0,0,0,-0.00765372,-1.22425,0.00126545,-8.75287,-309.125,1.45881,0.552
0.553,0.358819,0,0.0246094,0,0,0,-0.0163763,-1.53338,0.00268329,-12.2851,-325.023,2.0476,0.553
0.554,0.356624,0,0.0280797,0,0,0,-0.0286091,-1.8584,0.00463869,-15.5574,-332.567,2.59329,0.554
0.555,0.351351,0,0.0309651,0,0,0,-0.0440877,-2.19097,0.0070672,-18.4597,-332.449,3.07781,0.555
0.556,0.344671,0,0.0331729,0,0,0,-0.0624395,-2.52342,0.00989126,-20.9153,-326.761,3.48864,0.556
0.557,0.337437,0,0.0346,0,0,0,-0.0832168,-2.85019,0.0130268,-22.8532,-317.492,3.81423,0.557
0.558,0.330086,0,0.0351609,0,0,0,-0.105903,-3.16769,0.0163841,-24.2024,-306.159,4.04295,0.558
0.559,0.322841,0,0.0347907,0,0,0,-0.129913,-3.47385,0.0198665,-24.899,-293.811,4.16429,0.559
0.56,0.315812,0,0.0334478,0,0,0,-0.1546,-3.76767,0.023371,-24.8911,-281.13,4.16967,0.56
0.561,0.309051,0,0.0311134,0,0,0,-0.179266,-4.04881,0.0267895,-24.1427,-268.54,4.05308,0.561
0.562,0.30258,0,0.0277964,0,0,0,-0.203182,-4.31736,0.0300104,-22.6346,-256.295,3.81128,0.562
0.563,0.296403,0,0.0235421,0,0,0,-0.225597,-4.57367,0.032921,-20.3676,-244.54,3.44427,0.563
0.564,0.290518,0,0.0184672,0,0,0,-0.245766,-4.81822,0.0354103,-17.3665,-233.349,2.95602,0.564
0.565,0.284916,0,0.0129965,0,0,0,-0.262968,-5.05158,0.0373723,-13.6952,-222.75,2.35704,0.565
0.566,0.279587,0,0.00736906,0.00289773,0,0,-0.276545,-5.27434,0.0387122,-9.55354,-212.73,1.68042,0.566
0.567,0.274521,0,0.00368453,0.00719545,0,0,-0.286038,-5.48708,0.0393686,-4.05398,-203.119,0.778007,0.567
0.568,0.269705,0,0.00184226,0.0120923,0,0,-0.290115,-5.6902,0.0391315,1.91561,-193.782,-0.202445,0.568
0.569,0.265129,0,0.000921132,0.0171665,0,0,-0.288317,-5.88398,0.037942,7.61331,-184.675,-1.13749,0.569
0.57,0.26078,0,0.000460566,0.0221841,0,0,-0.280917,-6.06864,0.0358643,12.8324,-175.83,-1.99294,0.57
0.571,0.256648,0,0.000230283,0.0270185,0,0,-0.268388,-6.24446,0.0329932,17.5524,-167.289,-2.76561,0.571
0.572,0.252722,0,0.000115142,0.0314731,0,0,-0.251224,-6.41173,0.0294228,21.806,-159.083,-3.46125,0.572
0.573,0.248991,0,5.75708e-05,0.0353284,0,0,-0.229885,-6.5708,0.0252379,25.5851,-151.24,-4.07872,0.573
0.574,0.245448,0,2.87854e-05,0.0383665,0,0,-0.20484,-6.72202,0.0205214,28.8291,-143.777,-4.60813,0.574
0.575,0.242081,0,1.43927e-05,0.0404075,0,0,-0.176615,-6.86578,0.0153638,31.4403,-136.713,-5.03329,0.575
0.576,0.238882,0,7.19635e-06,0.0413034,0,0,-0.145831,-7.00248,0.00986976,33.3103,-130.059,-5.33622,0.576
0.577,0.235843,0,3.59817e-06,0.0411955,0,0,-0.113217,-7.13253,0.00415994,34.3355,-123.824,-5.49975,0.577
0.578,0.232957,0,1.79909e-06,0.0406226,0,0,-0.0796002,-7.25634,-0.00162928,34.523,-117.997,-5.52507,0.578
0.579,0.230214,0,8.99543e-07,0.0398432,0,0,-0.0458016,-7.37433,-0.0073642,34.0872,-112.539,-5.4479,0.579
0.58,0.227609,0,4.49772e-07,0.0389852,0,0,-0.0124311,-7.48686,-0.0129482,33.2458,-107.406,-5.3045,0.58
0.581,0.225134,0,2.24886e-07,0.0381112,0,0,0.0201145,-7.59427,-0.0183219,32.1669,-102.563,-5.12285,0.581
0.582,0.222782,0,1.12443e-07,0.0372516,0,0,0.0516032,-7.69683,-0.0234537,30.9661,-97.98,-4.92214,0.582
0.583,0.220548,0,5.62215e-08,0.0364203,0,0,0.0819159,-7.79482,-0.0283316,29.7176,-93.6357,-4.71465,0.583
0.584,0.218426,0,2.81107e-08,0.0356231,0,0,0.111007,-7.88846,-0.032955,28.4668,-89.5115,-4.5078,0.584
0.585,0.21641,0,1.40554e-08,0.0348622,0,0,0.138873,-7.97798,-0.0373308,27.2398,-85.5925,-4.30586,0.585
0.586,0.214495,0,7.02768e-09,0.0341374,0,0,0.165538,-8.06358,-0.0414693,26.0511,-81.8661,-4.11113,0.586
0.587,0.212676,0,3.51384e-09,0.033448,0,0,0.19104,-8.14546,-0.0453825,24.9081,-78.3211,-3.92473,0.587
0.588,0.210947,0,1.75692e-09,0.0327926,0,0,0.215424,-8.22379,-0.0490834,23.8138,-74.9474,-3.74706,0.588
0.589,0.209305,0,8.7846e-10,0.0321697,0,0,0.238737,-8.29875,-0.0525847,22.7687,-71.7359,-3.57811,0.589
0.59,0.207745,0,4.3923e-10,0.0315779,0,0,0.261027,-8.3705,-0.0558986,21.7722,-68.6781,-3.41769,0.59
0.591,0.206263,0,2.19615e-10,0.0310155,0,0,0.282343,-8.4392,-0.0590368,20.8226,-65.766,-3.26546,0.591
0.592,0.204855,0,1.09808e-10,0.0304813,0,0,0.302729,-8.50498,-0.0620103,19.9183,-62.9921,-3.12105,0.592
0.593,0.203518,0,5.49038e-11,0.0299738,0,0,0.32223,-8.56799,-0.0648295,19.0571,-60.3495,-2.98406,0.593
0.594,0.202247,0,2.74519e-11,0.0294916,0,0,0.340889,-8.62835,-0.0675039,18.2371,-57.8315,-2.85409,0.594
0.595,0.20104,0,1.37259e-11,0.0290336,0,0,0.358745,-8.6862,-0.0700426,17.4562,-55.4318,-2.73077,0.595
0.596,0.199893,0,6.86297e-12,0.0285984,0,0,0.375837,-8.74165,-0.0724539,16.7125,-53.1444,-2.61373,0.596
0.597,0.198804,0,3.43149e-12,0.028185,0,0,0.392201,-8.79481,-0.0747456,16.0041,-50.9638,-2.50262,0.597
0.598,0.197769,0,1.71574e-12,0.0277923,0,0,0.407872,-8.84579,-0.076925,15.3292,-48.8846,-2.3971,0.598
0.599,0.196786,0,8.57871e-13,0.0274192,0,0,0.422883,-8.89469,-0.0789987,14.6862,-46.9017,-2.29688,0.599
0.6,0.195852,0,4.28936e-13,0.0270648,0,0,0.437264,-8.9416,-0.0809731,14.0735,-45.0104,-2.20165,0.6
0.601,0.194965,0,2.14468e-13,0.026728,0,0,0.451045,-8.98663,-0.082854,13.4895,-43.2062,-2.11114,0.601
0.602,0.194122,0,1.07234e-13,0.0264082,0,0,0.464254,-9.02985,-0.084647,12.9327,-41.4847,-2.0251,0.602
0.603,0.193321,0,5.3617e-14,0.0261043,0,0,0.476919,-9.07135,-0.0863571,12.4019,-39.8418,-1.94328,0.603
0.604,0.19256,0,2.68085e-14,0.0258156,0,0,0.489063,-9.11121,-0.087989,11.8957,-38.2738,-1.86545,0.604
0.605,0.191837,0,1.34042e-14,0.0255413,0,0,0.500712,-9.1495,-0.0895474,11.4129,-36.7768,-1.79139,0.605
0.606,0.191151,0,6.70212e-15,0.0252808,0,0,0.511888,-9.18629,-0.0910363,10.9524,-35.3475,-1.72091,0.606
0.607,0.190499,0,3.35106e-15,0.0250333,0,0,0.522613,-9.22165,-0.0924596,10.5129,-33.9825,-1.65381,0.607
0.608,0.189879,0,0.000114288,0.0247981,0,0,0.532908,-9.25564,-0.0938209,10.0936,-32.6787,-1.58991,0.608
0.609,0.18929,0,0.000354202,0.0245747,0,0,0.542792,-9.28834,-0.0951238,9.65056,-31.4262,-1.52191,0.609
0.61,0.180038,0,0.00394677,0.0210635,0,0,0.552243,-9.31978,-0.0963642,9.15615,-30.2178,-1.44519,0.61
0.611,0.175594,0,0.00574306,0.0193774,0,0,0.561209,-9.35001,-0.0975335,6.19457,-25.1192,-0.957122,0.611
0.612,0.173373,0,0.0066412,0.0185343,0,0,0.567287,-9.37513,-0.0982541,3.27417,-20.1627,-0.475762,0.612
0.613,0.172262,0,0.00709027,0.0181128,0,0,0.570515,-9.3953,-0.098534,1.04306,-16.3338,-0.108953,0.613
0.614,0.171706,0,0.00731481,0.017902,0,0,0.571567,-9.41163,-0.0984795,-0.479358,-13.6446,0.140172,0.614
0.615,0.171429,0,0.00742707,0.0177966,0,0,0.571134,-9.42528,-0.0981995,-1.44933,-11.8393,0.297666,0.615
0.616,0.17129,0,0.00748321,0.0177439,0,0,0.569753,-9.43711,-0.0977781,-2.03538,-10.6478,0.391574,0.616
0.617,0.17122,0,0.00751128,0.0177176,0,0,0.567801,-9.44776,-0.0972739,-2.37102,-9.85729,0.444082,0.617
0.618,0.171186,0,0.00752531,0.0177044,0,0,0.56552,-9.45761,-0.0967247,-2.54984,-9.3193,0.470724,0.618
0.619,0.171168,0,0.00753233,0.0176978,0,0,0.563064,-9.46692,-0.0961543,-2.63326,-8.93654,0.481681,0.619
0.62,0.17116,0,0.00753583,0.0176945,0,0,0.560525,-9.47585,-0.0955769,-2.65993,-8.64785,0.483357,0.62
0.621,0.171155,0,0.00753759,0.0176929,0,0,0.55796,-9.4845,-0.0950011,-2.65354,-8.41581,0.479664,0.621
0.622,0.171153,0,0.00753847,0.0176921,0,0,0.555401,-9.49291,-0.0944317,-2.62827,-8.21798,0.472946,0.622
0.623,0.171152,0,0.0075389,0.0176916,0,0,0.552865,-9.50112,-0.0938715,-2.5925,-8.04112,0.464584,0.623
0.624,0.171152,0,0.00753912,0.0176914,0,0,0.550363,-9.50916,-0.0933218,-2.55113,-7.87744,0.455382,0.624
0.625,0.171151,0,0.00753923,0.0176913,0,0,0.547901,-9.51703,-0.0927834,-2.50695,-7.72244,0.445799,0.625
0.626,0.171151,0,0.00753929,0.0176913,0,0,0.545481,-9.52475,-0.0922565,-2.46159,-7.57354,0.4361,0.626
0.627,0.171151,0,0.00753932,0.0176913,0,0,0.543105,-9.53232,-0.0917412,-2.41594,-7.42922,0.42643,0.627
0.628,0.171151,0,0.00753933,0.0176913,0,0,0.540772,-9.53974,-0.0912374,-2.37053,-7.28861,0.416872,0.628
0.629,0.171151,0,0.00753934,0.0176912,0,0,0.538483,-9.54702,-0.090745,-2.32562,-7.15119,0.407468,0.629
0.63,0.171151,0,0.00753934,0.0176912,0,0,0.536237,-9.55417,-0.0902636,-2.28136,-7.01667,0.398242,0.63
0.631,0.171151,0,0.00753934,0.0176912,0,0,0.534034,-9.56118,-0.0897932,-2.23785,-6.88483,0.389204,0.631
0.632,0.171151,0,0.00753934,0.0176912,0,0,0.531873,-9.56807,-0.0893335,-2.1951,-6.75556,0.380358,0.632
0.633,0.171151,0,0.00753934,0.0176912,0,0,0.529752,-9.57482,-0.0888842,-2.15313,-6.62877,0.371703,0.633
0.634,0.171151,0,0.00753934,0.0176912,0,0,0.527672,-9.58144,-0.0884451,-2.11195,-6.50438,0.363239,0.634
0.635,0.171151,0,0.00753934,0.0176912,0,0,0.525632,-9.58794,-0.088016,-2.07154,-6.38233,0.354962,0.635
0.636,0.171151,0,0.00753934,0.0176912,0,0,0.52363,-9.59432,-0.0875966,-2.03191,-6.26258,0.346869,0.636
0.637,0.171151,0,0.00753934,0.0176912,0,0,0.521666,-9.60058,-0.0871868,-1.99302,-6.14508,0.338957,0.637
0.638,0.171151,0,0.00753934,0.0176912,0,0,0.51974,-9.60672,-0.0867863,-1.95488,-6.02978,0.331221,0.638
0.639,0.171151,0,0.00753934,0.0176912,0,0,0.517851,-9.61275,-0.0863949,-1.91747,-5.91664,0.323657,0.639
0.64,0.171151,0,0.00753934,0.0176912,0,0,0.515997,-9.61866,-0.0860124,-1.88078,-5.80562,0.316263,0.64
0.641,0.171151,0,0.00753934,0.0176912,0,0,0.514179,-9.62447,-0.0856386,-1.84478,-5.69668,0.309034,0.641
0.642,0.171151,0,0.00753934,0.0176912,0,0,0.512395,-9.63016,-0.0852733,-1.80948,-5.58978,0.301966,0.642
0.643,0.171151,0,0.00753934,0.0176912,0,0,0.510645,-9.63575,-0.0849164,-1.77484,-5.48489,0.295056,0.643
0.644,0.171151,0,0.00753934,0.0176912,0,0,0.508929,-9.64123,-0.0845675,-1.74088,-5.38196,0.2883,0.644
0.645,0.171151,0,0.00753934,0.0176912,0,0,0.507245,-9.64661,-0.0842266,-1.70756,-5.28096,0.281696,0.645
0.646,0.171151,0,0.00753934,0.0176912,0,0,0.505593,-9.65189,-0.0838935,-1.67488,-5.18185,0.275239,0.646
0.647,0.171151,0,0.00753934,0.0176912,0,0,0.503973,-9.65706,-0.0835679,-1.64282,-5.08459,0.268926,0.647
0.648,0.171151,0,0.00753934,0.0176912,0,0,0.502383,-9.66215,-0.0832497,-1.61138,-4.98916,0.262754,0.648
0.649,0.171151,0,0.00753934,0.0176912,0,0,0.500824,-9.66713,-0.0829388,-1.58054,-4.89552,0.256721,0.649
0.65,0.171151,0,0.00753934,0.0176912,0,0,0.499295,-9.67203,-0.082635,-1.55029,-4.80364,0.250822,0.65
0.651,0.171151,0,0.00753934,0.0176912,0,0,0.497794,-9.67683,-0.0823381,-1.52062,-4.71347,0.245056,0.651
0.652,0.171151,0,0.00753934,0.0176912,0,0,0.496322,-9.68154,-0.082048,-1.49152,-4.625,0.239418,0.652
0.653,0.171151,0,0.00753934,0.0176912,0,0,0.494879,-9.68616,-0.0817645,-1.46297,-4.53818,0.233906,0.653
0.654,0.171151,0,0.00753934,0.0176912,0,0,0.493462,-9.6907,-0.0814875,-1.43497,-4.453,0.228518,0.654
0.655,0.171151,0,0.00753934,0.0176912,0,0,0.492073,-9.69515,-0.0812167,-1.40751,-4.36941,0.22325,0.655
0.656,0.171151,0,0.00753934,0.0176912,0,0,0.49071,-9.69952,-0.0809522,-1.38057,-4.28738,0.2181,0.656
0.657,0.171151,0,0.00753934,0.0176912,0,0,0.489373,-9.7038,-0.0806937,-1.35415,-4.2069,0.213066,0.657
0.658,0.171151,0,0.00753934,0.0176912,0,0,0.488061,-9.70801,-0.0804411,-1.32823,-4.12792,0.208144,0.658
0.659,0.171151,0,0.00753934,0.0176912,0,0,0.486775,-9.71213,-0.0801942,-1.30281,-4.05042,0.203333,0.659
0.66,0.171151,0,0.00753934,0.0176912,0,0,0.485513,-9.71618,-0.0799531,-1.27788,-3.97438,0.198629,0.66
0.661,0.171151,0,0.00753934,0.0176912,0,0,0.484274,-9.72015,-0.0797174,-1.25342,-3.89976,0.194031,0.661
0.662,0.171151,0,0.00753934,0.0176912,0,0,0.48306,-9.72405,-0.0794871,-1.22943,-3.82655,0.189535,0.662
0.663,0.171151,0,0.00753934,0.0176912,0,0,0.481869,-9.72788,-0.0792621,-1.2059,-3.7547,0.185141,0.663
0.664,0.171151,0,0.00753934,0.0176912,0,0,0.4807,-9.73163,-0.0790422,-1.18282,-3.6842,0.180845,0.664
0.665,0.171151,0,0.00753934,0.0176912,0,0,0.479553,-9.73531,-0.0788273,-1.16018,-3.61503,0.176646,0.665
0.666,0.171151,0,0.00753934,0.0176912,0,0,0.478429,-9.73892,-0.0786174,-1.13798,-3.54715,0.17254,0.666
0.667,0.171151,0,0.00753934,0.0176912,0,0,0.477325,-9.74247,-0.0784123,-1.1162,-3.48055,0.168527,0.667
0.668,0.171151,0,0.00753934,0.0176912,0,0,0.476243,-9.74595,-0.0782119,-1.09484,-3.41519,0.164604,0.668
0.669,0.171151,0,0.00753934,0.0176912,0,0,0.475181,-9.74936,-0.0780161,-1.07388,-3.35106,0.160769,0.669
0.67,0.171151,0,0.00753934,0.0176912,0,0,0.47414,-9.75271,-0.0778248,-1.05333,-3.28814,0.157021,0.67
0.671,0.171151,0,0.00753934,0.0176912,0,0,0.473118,-9.756,-0.0776379,-1.03317,-3.22639,0.153356,0.671
0.672,0.171151,0,0.00753934,0.0176912,0,0,0.472116,-9.75922,-0.0774552,-1.0134,-3.1658,0.149774,0.672
0.673,0.171151,0,0.00753934,0.0176912,0,0,0.471133,-9.76239,-0.0772768,-0.994003,-3.10635,0.146273,0.673
0.674,0.171151,0,0.00753934,0.0176912,0,0,0.470168,-9.76549,-0.0771024,-0.974979,-3.04802,0.14285,0.674
0.675,0.171151,0,0.00753934,0.0176912,0,0,0.469222,-9.76854,-0.0769321,-0.95632,-2.99078,0.139505,0.675
0.676,0.171151,0,0.00753934,0.0176912,0,0,0.468294,-9.77153,-0.0767657,-0.938018,-2.93461,0.136235,0.676
0.677,0.171151,0,0.00753934,0.0176912,0,0,0.467384,-9.77446,-0.0766031,-0.920066,-2.8795,0.133038,0.677
0.678,0.171151,0,0.00753934,0.0176912,0,0,0.466491,-9.77734,-0.0764443,-0.902457,-2.82542,0.129914,0.678
0.679,0.171151,0,0.00753934,0.0176912,0,0,0.465615,-9.78017,-0.0762892,-0.885186,-2.77236,0.12686,0.679
0.68,0.171151,0,0.00753934,0.0176912,0,0,0.464755,-9.78294,-0.0761376,-0.868245,-2.72029,0.123874,0.68
0.681,0.171151,0,0.00753934,0.0176912,0,0,0.463912,-9.78566,-0.0759895,-0.851629,-2.6692,0.120957,0.681
0.682,0.171151,0,0.00753934,0.0176912,0,0,0.463085,-9.78832,-0.0758448,-0.835331,-2.61907,0.118105,0.682
0.683,0.171151,0,0.00753934,0.0176912,0,0,0.462274,-9.79094,-0.0757035,-0.819345,-2.56987,0.115317,0.683
0.684,0.171151,0,0.00753934,0.0176912,0,0,0.461478,-9.79351,-0.0755654,-0.803664,-2.52161,0.112593,0.684
0.685,0.171151,0,0.00753934,0.0176912,0,0,0.460697,-9.79603,-0.0754306,-0.788284,-2.47424,0.10993,0.685
0.686,0.171151,0,0.00753934,0.0176912,0,0,0.459931,-9.79851,-0.0752988,-0.773199,-2.42777,0.107328,0.686
0.687,0.171151,0,0.00753934,0.0176912,0,0,0.45918,-9.80093,-0.0751701,-0.758402,-2.38217,0.104784,0.687
0.688,0.171151,0,0.00753934,0.0176912,0,0,0.458443,-9.80331,-0.0750444,-0.743888,-2.33742,0.102298,0.688
0.689,0.171151,0,0.00753934,0.0176912,0,0,0.45772,-9.80565,-0.0749216,-0.729653,-2.29352,0.0998683,0.689
0.69,0.171151,0,0.00753934,0.0176912,0,0,0.457011,-9.80794,-0.0748017,-0.715689,-2.25044,0.0974937,0.69
0.691,0.171151,0,0.00753934,0.0176912,0,0,0.456315,-9.81019,-0.0746845,-0.701993,-2.20817,0.0951729,0.691
0.692,0.171151,0,0.00753934,0.0176912,0,0,0.455632,-9.8124,-0.0745701,-0.68856,-2.16669,0.0929048,0.692
0.693,0.171151,0,0.00753934,0.0176912,0,0,0.454963,-9.81457,-0.0744583,-0.675383,-2.12599,0.0906883,0.693
0.694,0.171151,0,0.00753934,0.0176912,0,0,0.454306,-9.81669,-0.0743492,-0.662459,-2.08605,0.0885221,0.694
0.695,0.171151,0,0.00753934,0.0176912,0,0,0.453662,-9.81878,-0.0742426,-0.649782,-2.04687,0.0864052,0.695
0.696,0.171151,0,0.00753934,0.0176912,0,0,0.45303,-9.82082,-0.0741384,-0.637348,-2.00841,0.0843364,0.696
0.697,0.171151,0,0.00753934,0.0176912,0,0,0.45241,-9.82283,-0.0740367,-0.625151,-1.97069,0.0823147,0.697
0.698,0.171151,0,0.00753934,0.0176912,0,0,0.451802,-9.8248,-0.0739374,-0.613189,-1.93367,0.0803391,0.698
0.699,0.171151,0,0.00753934,0.0176912,0,0,0.451205,-9.82673,-0.0738404,-0.601455,-1.89734,0.0784085,0.699
0.7,0.171151,0,0.00753934,0.0176912,0,0,0.45062,-9.82863,-0.0737456,-0.589946,-1.8617,0.0765219,0.7
