BST,AMR,ALR,AIR,ASR,ASO,AIO,RX,RY,RZ,RXu,RYu,RZu,SST
0.535,0,0,0,0,0,0,0,0,0,0,0,0,0.535
0.536,0,0,0,0,0,0,0,0,0,0,0,0,0.536
0.537,0,0,0,0,0,0,0,0,0,0,0,0,0.537
0.538,0,0,0.0495459,0,0,0,0,0,0,0,0,0,0.538
0.539,0,0,0.115423,0,0,0,0,0,0,-18.664,1.55533,3.11066,0.539
0.54,0,0,0.180861,0,0,0,-0.018664,0.00155533,0.00311066,-53.291,4.44092,8.88183,0.54
0.541,0,0,0.240483,0,0,0,-0.0719552,0.00599336,0.0119939,-95.9996,7.99997,15.9999,0.541
0.542,0,0,0.293494,0,0,0,-0.167957,0.0139732,0.0280039,-140.493,11.7078,23.4155,0.542
0.543,0,0,0.340781,0,0,0,-0.308455,0.0256123,0.0514537,-183.095,15.2581,30.5157,0.543
0.544,0,0,0.381666,0,0.00282712,0,-0.491564,0.0407059,0.0820511,-222.187,18.5164,37.0307,0.544
0.545,0,0,0.414859,0,0.00670336,0,-0.713777,0.0589039,0.119239,-256.468,21.4894,42.1293,0.545
0.546,0,0,0.439018,0,0.010601,0,-0.970288,0.0798668,0.161633,-284.921,24.0774,45.7056,0.546
0.547,0.00160554,0,0.452928,0,0.0141815,0,-1.25527,0.103167,0.20774,-306.617,26.1532,47.8665,0.547
0.548,0.00365782,0,0.455558,0,0.0173893,0,-1.56198,0.128265,0.256168,-320.674,26.8172,48.6797,0.548
0.549,0.00572387,0,0.451428,0,0.0202721,0,-1.88276,0.153745,0.305561,-326.307,26.1368,48.1415,0.549
0.55,0.00766248,0,0.444087,0,0.0227918,0,-2.2092,0.178286,0.354535,-324.869,24.5163,46.5345,0.55
0.551,0.00945474,0,0.435318,0,0.0248718,0,-2.53422,0.200991,0.40198,-318.478,22.3598,44.2497,0.551
0.552,0.0111156,0,0.426033,0,0.0264306,0,-2.85285,0.221372,0.447176,-308.986,19.9508,41.6315,0.552
0.553,0.0125922,0,0.416696,0,0.0273956,0,-3.162,0.239226,0.489749,-297.756,17.4623,38.9425,0.553
0.554,0.0138275,0,0.407543,0,0.0277049,0,-3.45993,0.254514,0.529596,-285.715,15.0265,36.3698,0.554
0.555,0.0147708,0,0.398689,0,0.0275224,0,-3.74581,0.267318,0.566806,-273.46,12.7476,34.042,0.555
0.556,0.0153752,0,0.390186,0,0.0271068,0,-4.01943,0.277814,0.601609,-261.346,10.7133,31.996,0.556
0.557,0.0156012,0,0.382056,0,0.0265857,0,-4.28093,0.286258,0.634277,-249.565,8.99987,30.1941,0.557
0.558,0.0154152,0,0.374301,0,0.0260242,0,-4.53065,0.292979,0.665059,-238.216,7.66782,28.5868,0.558
0.559,0.0149658,0,0.366914,0,0.0254553,0,-4.76902,0.298365,0.694163,-227.348,6.76403,27.1319,0.559
0.56,0.0143711,0,0.359885,0,0.0248956,0,-4.99651,0.30285,0.721764,-216.976,6.23694,25.7973,0.56
0.561,0.0136992,0,0.3532,0,0.0243533,0,-5.21362,0.306816,0.748007,-207.095,5.99744,24.5596,0.561
0.562,0.0130061,0,0.346845,0,0.0238321,0,-5.42085,0.310557,0.77301,-197.69,5.96166,23.4025,0.562
0.563,0.0123381,0,0.340804,0,0.0233336,0,-5.61867,0.314281,0.796871,-188.742,6.0549,22.3144,0.563
0.564,0.0117301,0,0.335064,0,0.022858,0,-5.80754,0.318122,0.819672,-180.231,6.21295,21.2868,0.564
0.565,0.0112066,0,0.329609,0,0.0224049,0,-5.98789,0.32215,0.841478,-172.134,6.38342,20.3135,0.565
0.566,0.0107842,0,0.324426,0,0.0219738,0,-6.16014,0.326379,0.862347,-164.429,6.52569,19.3895,0.566
0.567,0.0104799,0,0.319502,0,0.0215638,0,-6.32469,0.330786,0.882325,-157.096,6.60985,18.5108,0.567
0.568,0.0102381,0,0.314823,0,0.021174,0,-6.48189,0.335317,0.901452,-150.112,6.61162,17.6742,0.568
0.569,0.0100319,0,0.310379,0,0.0208035,0,-6.63211,0.339891,0.91976,-143.463,6.54577,16.8774,0.569
0.57,0.0098477,0,0.306156,0,0.0204514,0,-6.77568,0.344444,0.93728,-137.132,6.43359,16.1183,0.57
0.571,0.00967859,0,0.302144,0,0.0201169,0,-6.91291,0.348931,0.954045,-131.104,6.29321,15.3951,0.571
0.572,0.00952084,0,0.298333,0,0.019799,0,-7.04411,0.353325,0.970086,-125.365,6.13766,14.7063,0.572
0.573,0.00937242,0,0.294713,0,0.019497,0,-7.16957,0.357613,0.985435,-119.901,5.97557,14.0502,0.573
0.574,0.00923212,0,0.291273,0,0.0192101,0,-7.28956,0.361788,1.00012,-114.698,5.81228,13.4253,0.574
0.575,0.0090992,0,0.288005,0,0.0189375,0,-7.40435,0.36585,1.01418,-109.744,5.65097,12.8301,0.575
0.576,0.00897309,0,0.284901,0,0.0186785,0,-7.51418,0.369801,1.02763,-105.026,5.49344,12.2632,0.576
0.577,0.00885337,0,0.281952,0,0.0184324,0,-7.61929,0.373643,1.0405,-100.533,5.34062,11.7231,0.577
0.578,0.00873968,0,0.27915,0,0.0181987,0,-7.7199,0.377382,1.05283,-96.2526,5.19293,11.2085,0.578
0.579,0.00863169,0,0.276489,0,0.0179767,0,-7.81623,0.381022,1.06464,-92.1752,5.05052,10.7183,0.579
0.58,0.00852911,0,0.27396,0,0.0177657,0,-7.90848,0.384568,1.07594,-88.2905,4.91333,10.2511,0.58
0.581,0.00843166,0,0.271558,0,0.0175653,0,-7.99685,0.388025,1.08677,-84.5889,4.78126,9.80596,0.581
0.582,0.00833909,0,0.269276,0,0.0173749,0,-8.08151,0.391395,1.09715,-81.0612,4.65411,9.38165,0.582
0.583,0.00825115,0,0.267108,0,0.017194,0,-8.16263,0.394684,1.10709,-77.6988,4.53171,8.97718,0.583
0.584,0.0081676,0,0.265049,0,0.0170222,0,-8.2404,0.397895,1.11662,-74.4935,4.41384,8.59159,0.584
0.585,0.00808823,0,0.263092,0,0.016859,0,-8.31496,0.401032,1.12576,-71.4376,4.30031,8.22394,0.585
0.586,0.00801283,0,0.261234,0,0.0167039,0,-8.38645,0.404098,1.13452,-68.5237,4.19093,7.87335,0.586
0.587,0.0079412,0,0.259468,0,0.0165566,0,-8.45504,0.407096,1.14292,-65.7447,4.08549,7.53898,0.587
0.588,0.00787315,0,0.257791,0,0.0164166,0,-8.52084,0.410028,1.15098,-63.0941,3.98383,7.22005,0.588
0.589,0.00780851,0,0.256197,0,0.0162837,0,-8.58399,0.412898,1.15871,-60.5654,3.88576,6.91579,0.589
0.59,0.00774709,0,0.254683,0,0.0161574,0,-8.64461,0.415708,1.16612,-58.1528,3.79114,6.62549,0.59
0.591,0.00768875,0,0.253245,0,0.0160374,0,-8.70281,0.418461,1.17324,-55.8506,3.69979,6.34848,0.591
0.592,0.00763332,0,0.251879,0,0.0159234,0,-8.75871,0.421157,1.18008,-53.6533,3.61158,6.0841,0.592
0.593,0.00758067,0,0.250581,0,0.0158151,0,-8.81241,0.4238,1.18664,-51.5558,3.52637,5.83174,0.593
0.594,0.00753064,0,0.249348,0,0.0157122,0,-8.86402,0.426392,1.19295,-49.5533,3.44401,5.59082,0.594
0.595,0.00748312,0,0.248176,0,0.0156145,0,-8.91362,0.428933,1.199,-47.6411,3.36439,5.3608,0.595
0.596,0.00743798,0,0.247063,0,0.0140782,0,-8.9613,0.431426,1.20482,-45.8149,3.28738,5.14113,0.596
0.597,0.00672838,0,0.229571,0,0.0133405,0,-9.00716,0.433873,1.21041,-44.1957,3.19637,5.25849,0.597
0.598,0.00638761,0,0.221171,0,0.0129717,0,-9.0514,0.436206,1.2161,-36.719,2.88782,4.38849,0.598
0.599,0.00621723,0,0.216971,0,0.0127872,0,-9.08815,0.438368,1.22089,-29.429,2.59137,3.46262,0.599
0.6,0.00613204,0,0.214871,0,0.012695,0,-9.11761,0.44038,1.22472,-23.7989,2.36068,2.72588,0.6
0.601,0.00608944,0,0.213821,0,0.0126489,0,-9.14143,0.442279,1.22779,-19.8507,2.19474,2.20186,0.601
0.602,0.00606814,0,0.213296,0,0.0126259,0,-9.1613,0.444096,1.23031,-17.2074,2.07817,1.84861,0.602
0.603,0.0060575,0,0.213034,0,0.0126143,0,-9.17853,0.445853,1.23247,-15.4693,1.99541,1.61589,0.603
0.604,0.00605217,0,0.212902,0,0.0126086,0,-9.19401,0.447565,1.23438,-14.3224,1.9345,1.4627,0.604
0.605,0.00604951,0,0.212837,0,0.0126057,0,-9.20835,0.449241,1.23613,-13.5471,1.88722,1.35987,0.605
0.606,0.00604818,0,0.212804,0,0.0126042,0,-9.22191,0.450886,1.23778,-12.9999,1.84829,1.2881,0.606
0.607,0.00604751,0,0.212788,0,0.0126035,0,-9.23492,0.452504,1.23934,-12.5906,1.81443,1.2352,0.607
0.608,0.00604718,0,0.212779,0,0.0126032,0,-9.24752,0.454097,1.24085,-12.2641,1.78367,1.19367,0.608
0.609,0.00604701,0,0.212775,0,0.012603,0,-9.2598,0.455666,1.24232,-11.9873,1.75487,1.15898,0.609
0.61,0.00604693,0,0.212773,0,0.0126029,0,-9.2718,0.457211,1.24375,-11.7408,1.72733,1.12847,0.61
0.611,0.00604689,0,0.212772,0,0.0126028,0,-9.28355,0.458734,1.24514,-11.5132,1.70067,1.10057,0.611
0.612,0.00604687,0,0.212772,0,0.0126028,0,-9.29507,0.460235,1.2465,-11.2979,1.67467,1.07437,0.612
0.613,0.00604686,0,0.212771,0,0.0126028,0,-9.30638,0.461714,1.24783,-11.0911,1.6492,1.04935,0.613
0.614,0.00604685,0,0.212771,0,0.0126028,0,-9.31748,0.463172,1.24913,-10.8905,1.62419,1.02521,0.614
0.615,0.00604685,0,0.212771,0,0.0126028,0,-9.32838,0.464609,1.25041,-10.695,1.59958,1.00176,0.615
0.616,0.00604685,0,0.212771,0,0.0126028,0,-9.33909,0.466025,1.25165,-10.5038,1.57536,0.978904,0.616
0.617,0.00604685,0,0.212771,0,0.0126028,0,-9.3496,0.46742,1.25288,-10.3165,1.55151,0.956583,0.617
0.618,0.00604685,0,0.212771,0,0.0126028,0,-9.35993,0.468796,1.25407,-10.1327,1.52802,0.934756,0.618
0.619,0.00604685,0,0.212771,0,0.0126028,0,-9.37007,0.470151,1.25524,-9.95229,1.50487,0.913398,0.619
0.62,0.00604685,0,0.212771,0,0.0126028,0,-9.38003,0.471487,1.25639,-9.77519,1.48207,0.892491,0.62
0.621,0.00604685,0,0.212771,0,0.0126028,0,-9.38982,0.472804,1.25751,-9.60128,1.4596,0.872022,0.621
