BST,AMR,ALR,AIR,ASR,ASO,AIO,RX,RY,RZ,RXu,RYu,RZu,SST
0.54,0,0,0,0,0,0,0,0,0,0,0,0,0.54
0.541,0,0,0.0147973,0,0,0,0,0,0,0,0,0,0.541
0.542,0.00950835,0,0.0634518,0,0,0,0,0,0,-5.57417,0.464514,0.929028,0.542
0.543,0.0413715,0,0.119282,0,0,0,-0.00557417,0.000464514,0.000929028,-26.8325,-2.42804,4.47209,0.543
0.544,0.0778667,0,0.172841,0,0,0,-0.0324067,-0.00196396,0.00540088,-58.9946,-17.8292,9.83243,0.544
0.545,0.112758,0,0.221484,0,0,0,-0.091401,-0.0197988,0.0152232,-95.8544,-42.1245,15.9757,0.545
0.546,0.144312,0,0.26528,0,0,0,-0.18725,-0.0619486,0.0311317,-133.044,-70.3259,22.1741,0.546
0.547,0.172546,0,0.304548,0,0,0,-0.320271,-0.132347,0.0530759,-168.232,-98.8678,28.0393,0.547
0.548,0.197697,0,0.338459,0,0.00211888,0,-0.488439,-0.23137,0.0805622,-200.287,-125.823,33.3838,0.548
0.549,0.219243,0,0.365922,0,0.00509374,0,-0.688595,-0.357472,0.112872,-228.152,-150.23,37.5729,0.549
0.55,0.236442,0,0.385796,0,0.00816088,0,-0.916524,-0.508143,0.148638,-250.971,-171.418,40.4995,0.55
0.551,0.248558,0,0.397035,0,0.0110633,0,-1.16716,-0.680188,0.186392,-267.967,-188.757,42.2236,0.551
0.552,0.25496,0,0.398773,0,0.0137463,0,-1.43467,-0.869766,0.224764,-278.42,-201.639,42.7859,0.552
0.553,0.255101,0,0.394841,0,0.0162311,0,-1.71252,-1.07241,0.262493,-281.72,-209.524,42.1839,0.553
0.554,0.252139,0,0.388244,0,0.01848,0,-1.99357,-1.2831,0.298403,-279.084,-211.797,40.6693,0.554
0.555,0.24772,0,0.380486,0,0.0204254,0,-2.27191,-1.49619,0.331688,-272.348,-209.638,38.5818,0.555
0.556,0.242679,0,0.37233,0,0.0219983,0,-2.54346,-1.70719,0.361939,-263.1,-204.482,36.2167,0.556
0.557,0.237441,0,0.364161,0,0.0231357,0,-2.80575,-1.91308,0.389058,-252.5,-197.508,33.7963,0.557
0.558,0.232223,0,0.356173,0,0.0237824,0,-3.05745,-2.112,0.413159,-241.33,-189.563,31.4766,0.558
0.559,0.227132,0,0.348459,0,0.0238901,0,-3.29799,-2.30297,0.434495,-230.085,-181.206,29.3631,0.559
0.56,0.222222,0,0.341059,0,0.023651,0,-3.52732,-2.48557,0.4534,-219.07,-172.788,27.5255,0.56
0.561,0.217514,0,0.333989,0,0.0232514,0,-3.74566,-2.65972,0.470258,-208.44,-164.516,25.9561,0.561
