BST,AMR,ALR,AIR,ASR,ASO,AIO,RX,RY,RZ,RXu,RYu,RZu,SST
0.539,0,0,0,0,0,0,0,0,0,0,0,0,0.539
0.54,0,0,0,0,0,0,0,0,0,0,0,0,0.54
0.541,0.0214575,0,0,0,0,0,0,0,0,0,0,0,0.541
0.542,0.0695046,0,0,0,0,0,0,0,0,0,-10.5255,0,0.542
0.543,0.121961,0,0,0,0,0,0,-0.0105255,0,0,-39.6267,0,0.543
0.544,0.171149,0,0,0,0,0,0,-0.0501521,0,0,-80.5719,0,0.544
0.545,0.215155,0,0,0,0,0,0,-0.130724,0,0,-125.9,0,0.545
0.546,0.254309,0,0.00185534,0,0,0,0,-0.256624,0,0,-170.643,0,0.546
0.547,0.288716,0,0.0074773,0,0,0,0,-0.427267,0,-0.698815,-212.238,0.116469,0.547
0.548,0.317571,0,0.0137722,0,0,0,-0.000697946,-0.639506,0.000116472,-3.18341,-249.321,0.530569,0.548
0.549,0.339852,0,0.019675,0,0,0,-0.00387547,-0.888826,0.000644037,-6.85294,-280.89,1.14216,0.549
0.55,0.354598,0,0.0248929,0,0,0,-0.010711,-1.16972,0.00176733,-10.9725,-305.993,1.82876,0.55
0.551,0.360998,0,0.0294452,0,0,0,-0.0216473,-1.47571,0.00353926,-15.0331,-323.722,2.50565,0.551
0.552,0.359804,0,0.0333857,0,0,0,-0.036619,-1.79943,0.00592339,-18.7697,-333.278,3.12888,0.552
0.553,0.354976,0,0.0366247,0,0,0,-0.0552971,-2.13271,0.0088407,-22.065,-334.692,3.67918,0.553
0.554,0.348458,0,0.0390428,0,0,0,-0.0772371,-2.46741,0.0121992,-24.8276,-329.995,4.14166,0.554
0.555,0.341244,0,0.0405285,0,0,0,-0.101905,-2.79741,0.0158994,-26.9696,-321.287,4.50201,0.555
0.556,0.333843,0,0.0409858,0,0,0,-0.128683,-3.1187,0.0198347,-28.409,-310.217,4.74678,0.556
0.557,0.326513,0,0.040339,0,0,0,-0.156871,-3.42893,0.0238907,-29.0732,-297.942,4.86405,0.557
0.558,0.319384,0,0.0385384,0,0,0,-0.185702,-3.72688,0.0279463,-28.9029,-285.224,4.84399,0.558
0.559,0.312517,0,0.0355601,0,0,0,-0.214349,-4.01212,0.0318741,-27.8564,-272.54,4.67964,0.559
0.56,0.305939,0,0.0314119,0,0,0,-0.241949,-4.28468,0.0355431,-25.9111,-260.178,4.36714,0.56
0.561,0.299658,0,0.0264693,0,0,0,-0.267615,-4.54487,0.0388207,-23.0667,-248.304,3.9063,0.561
0.562,0.293671,0,0.0211249,0,0,0,-0.290464,-4.79319,0.0415759,-19.4728,-236.991,3.32186,0.562
0.563,0.287972,0,0.0155819,0,0,0,-0.309759,-5.0302,0.0437037,-15.3639,-226.253,2.65268,0.563
0.564,0.282551,0,0.0099716,0.00223172,0,0,-0.324997,-5.25646,0.0451387,-10.9461,-216.08,1.93286,0.564
0.565,0.277396,0,0.0049858,0.0061658,0,0,-0.335878,-5.47255,0.0458488,-5.54332,-206.341,1.04944,0.565
0.566,0.272496,0,0.0024929,0.0108431,0,0,-0.341436,-5.67889,0.0456879,0.738967,-196.943,0.019722,0.566
0.567,0.267838,0,0.00124645,0.0157729,0,0,-0.340812,-5.87583,0.0445283,6.77549,-187.776,-0.969001,0.567
0.568,0.263413,0,0.000623225,0.0206923,0,0,-0.334251,-6.0636,0.0424314,12.2503,-178.856,-1.86433,0.568
0.569,0.259208,0,0.000311613,0.0254492,0,0,-0.32231,-6.24244,0.0395073,17.1353,-170.224,-2.66188,0.569
0.57,0.255213,0,0.000155806,0.0298566,0,0,-0.30557,-6.41265,0.0358663,21.4813,-161.918,-3.37037,0.57
0.571,0.251417,0,7.79031e-05,0.033694,0,0,-0.284565,-6.57454,0.0316058,25.3089,-153.966,-3.99353,0.571
0.572,0.24781,0,3.89516e-05,0.0367619,0,0,-0.259805,-6.72849,0.0268161,28.5811,-146.393,-4.52536,0.572
0.573,0.244384,0,1.94758e-05,0.0388851,0,0,-0.231836,-6.87486,0.021591,31.2231,-139.216,-4.95356,0.573
0.574,0.241129,0,9.73789e-06,0.0399157,0,0,-0.201278,-7.01405,0.0160342,33.1429,-132.447,-5.26286,0.574
0.575,0.238037,0,4.86895e-06,0.0398879,0,0,-0.16884,-7.14648,0.0102629,34.2463,-126.095,-5.43764,0.575
0.576,0.235099,0,2.43447e-06,0.0393687,0,0,-0.135322,-7.27256,0.00440826,34.5055,-120.157,-5.47327,0.576
0.577,0.232308,0,1.21724e-06,0.0386291,0,0,-0.101551,-7.3927,-0.00139547,34.1271,-114.592,-5.40419,0.577
0.578,0.229657,0,6.08618e-07,0.0378033,0,0,-0.0681513,-7.50729,-0.00704975,33.3296,-109.36,-5.26678,0.578
0.579,0.227138,0,3.04309e-07,0.0369571,0,0,-0.0355329,-7.61664,-0.0124933,32.2842,-104.423,-5.08951,0.579
0.58,0.224745,0,1.52155e-07,0.0361225,0,0,-0.00393799,-7.72106,-0.0176934,31.1094,-99.7515,-4.89207,0.58
0.581,0.222472,0,7.60773e-08,0.0353142,0,0,0.0265072,-7.82081,-0.0226372,29.8817,-95.3234,-4.68709,0.581
0.582,0.220312,0,3.80386e-08,0.0345386,0,0,0.0557512,-7.91614,-0.0273238,28.6479,-91.12,-4.48226,0.582
0.583,0.218261,0,1.90193e-08,0.033798,0,0,0.0837882,-8.00726,-0.0317596,27.4354,-87.1258,-4.28202,0.583
0.584,0.216312,0,9.50966e-09,0.0330924,0,0,0.110639,-8.09439,-0.0359551,26.2594,-83.3281,-4.08878,0.584
