BST,AMR,ALR,AIR,ASR,ASO,AIO,RX,RY,RZ,RXu,RYu,RZu,SST
0.93,0.171151,0,0.00753934,0.0176912,0,0,0.420772,-9.92642,-0.0700352,-0.00698639,-0.0236983,-0.000377661,0.93
0.931,0.171151,0,0.00753934,0.0176912,0,0,0.420765,-9.92644,-0.0700354,-0.00685323,-0.0232528,-0.000377152,0.931
0.932,0.171151,0,0.00753934,0.0176912,0,0,0.420758,-9.92646,-0.0700356,-0.00672261,-0.0228157,-0.000376537,0.932
0.933,0.171151,0,0.00753934,0.0176912,0,0,0.420751,-9.92649,-0.0700358,-0.00659449,-0.0223869,-0.00037582,0.933
0.934,0.171151,0,0.00753934,0.0176912,0,0,0.420744,-9.92651,-0.0700361,-0.00646881,-0.0219661,-0.000375005,0.934
0.935,0.171151,0,0.00753934,0.0176912,0,0,0.420738,-9.92653,-0.0700363,-0.00634552,-0.0215532,-0.000374095,0.935
0.936,0.171151,0,0.00753934,0.0176912,0,0,0.420731,-9.92655,-0.0700365,-0.00622459,-0.021148,-0.000373095,0.936
0.937,0.171151,0,0.00753934,0.0176912,0,0,0.420725,-9.92657,-0.0700367,-0.00610597,-0.0207505,-0.000372008,0.937
0.938,0.171151,0,0.00753934,0.0176912,0,0,0.420719,-9.92659,-0.0700369,-0.00598961,-0.0203605,-0.000370838,0.938
0.939,0.171151,0,0.00753934,0.0176912,0,0,0.420713,-9.92661,-0.0700372,-0.00587547,-0.0199778,-0.000369587,0.939
0.94,0.171151,0,0.00753934,0.0176912,0,0,0.420707,-9.92663,-0.0700374,-0.00576351,-0.0196022,-0.00036826,0.94
0.941,0.171151,0,0.00753934,0.0176912,0,0,0.420701,-9.92665,-0.0700376,-0.00565369,-0.0192338,-0.000366859,0.941
0.942,0.171151,0,0.00753934,0.0176912,0,0,0.420696,-9.92667,-0.0700378,-0.00554596,-0.0188722,-0.000365387,0.942
0.943,0.144346,0.0268047,0.00753934,0.0176912,0,0,0.42069,-9.92669,-0.0700381,-0.00544028,-0.0185175,-0.000363848,0.943
0.944,0.0956268,0.0755242,0.00753934,0.0176912,0,0,0.420685,-9.92671,-0.0700383,0.0744465,25.5407,-0.0136594,0.944
0.945,0.0478134,0.127024,0.00753934,0.0176912,0,0,0.420724,-9.90117,-0.0702426,0.261499,85.4319,-0.0448162,0.945
0.946,0.0239067,0.174809,0.00753934,0.0176912,0,0,0.420868,-9.81574,-0.0709249,0.500058,164.167,-0.0830658,0.946
0.947,0.0119533,0.217412,0.00753934,0.0176912,0,0,0.421145,-9.65158,-0.0722329,0.683681,239.752,-0.10788,0.947
0.948,0.00597667,0.255237,0.00942771,0.0158029,0,0,0.421511,-9.41183,-0.0741299,0.798566,305.136,-0.114407,0.948
0.949,0.00298834,0.288163,0.0148082,0.0104224,0,0,0.421918,-9.10671,-0.0765213,-0.554087,359.539,0.131604,0.949
0.95,0.00149417,0.315308,0.020804,0.00521121,0,0,0.420961,-8.74718,-0.0790694,-5.30001,403.908,0.951037,0.95
0.951,0.000747084,0.335659,0.0264131,0.0026056,0,0,0.41535,-8.34327,-0.0811097,-11.9911,439.093,2.10173,0.951
0.952,0.000373542,0.348316,0.0313736,0.0013028,0,0,0.403201,-7.90418,-0.0822026,-18.5503,465.507,3.23617,0.952
0.953,0.000186771,0.352531,0.0357138,0.000651401,0,0,0.384645,-7.43866,-0.0822427,-24.2563,483.035,4.23251,0.953
0.954,9.33855e-05,0.350401,0.0394807,0.000325701,0,0,0.360518,-6.95561,-0.0812447,-28.9832,491.329,5.06793,0.954
0.955,4.66928e-05,0.345237,0.0425971,0.00016285,0,0,0.331776,-6.46425,-0.0792537,-32.8112,491.344,5.7539,0.955
0.956,2.33464e-05,0.338681,0.0449549,8.14252e-05,0,0,0.299294,-5.97289,-0.0763265,-35.8233,485.332,6.30239,0.956
0.957,1.16732e-05,0.331577,0.0464354,4.07126e-05,0,0,0.263865,-5.48753,-0.0725388,-38.0606,475.369,6.71856,0.957
0.958,5.8366e-06,0.324356,0.0469537,2.03563e-05,0,0,0.226239,-5.01213,-0.0679887,-39.5216,463.023,7.00089,0.958
0.959,2.9183e-06,0.317235,0.0464438,1.01781e-05,0,0,0.187171,-4.54909,-0.0627963,-40.1874,449.365,7.14533,0.959
0.96,1.45915e-06,0.310325,0.0448611,5.08907e-06,0,0,0.147436,-4.0997,-0.057101,-40.033,435.095,7.14718,0.96
0.961,7.29574e-07,0.303677,0.0421766,2.54454e-06,0,0,0.107835,-3.66459,-0.051058,-39.0364,420.648,7.00264,0.961
0.962,3.64787e-07,0.297314,0.0383905,1.27227e-06,0,0,0.0691962,-3.24393,-0.0448343,-37.1826,406.291,6.70923,0.962
0.963,1.82394e-07,0.29124,0.0340164,0.00165388,0,0,0.0323661,-2.83763,-0.0386058,-34.4711,392.183,6.26712,0.963
0.964,9.11968e-08,0.285452,0.0293441,0.00516399,0,0,-0.00180533,-2.44544,-0.0325528,-30.4798,378.501,5.60639,0.964
0.965,4.55984e-08,0.279943,0.0245229,0.00954798,0,0,-0.0320452,-2.06694,-0.0269294,-25.0258,365.354,4.69703,0.965
0.966,0.00389627,0.274703,0.0196578,0.0142846,0,0,-0.0568941,-1.70159,-0.0220248,-18.4493,352.754,3.59632,0.966
0.967,0.00992636,0.26972,0.0148039,0.0191119,0,0,-0.0752261,-1.34884,-0.0180765,-11.1763,338.793,2.37593,0.967
0.968,0.0168199,0.264984,0.0100516,0.0238642,0,0,-0.086336,-1.01005,-0.0152549,-3.55832,323.293,1.09518,0.968
0.969,0.0239518,0.260482,0.00550239,0.0284758,0,0,-0.0898664,-0.686758,-0.0136724,4.11689,306.777,-0.197217,0.969
0.97,0.0310188,0.256205,0.0027512,0.0328958,0,0,-0.0857461,-0.379981,-0.0133884,11.631,289.832,-1.46406,0.97
0.971,0.0378785,0.252141,0.0013756,0.0370754,0,0,-0.0741219,-0.0901473,-0.0144187,18.2478,272.968,-2.58183,0.971
0.972,0.0444685,0.248279,0.000687799,0.0409529,0,0,-0.0558776,0.182823,-0.0166474,23.7206,256.504,-3.50872,0.972
0.973,0.0507656,0.244611,0.000343899,0.0443999,0,0,-0.0321466,0.439331,-0.019906,28.1619,240.61,-4.26285,0.973
0.974,0.0567662,0.241125,0.00017195,0.0472685,0,0,-0.00395306,0.679943,-0.024034,31.7208,225.366,-4.86862,0.974
0.975,0.0624761,0.237814,8.59749e-05,0.0494169,0,0,0.0278254,0.90531,-0.0288874,34.4933,210.8,-5.34165,0.975
0.976,0.0679051,0.234668,4.29874e-05,0.0507077,0,0,0.0624047,1.11611,-0.0343321,36.5157,196.911,-5.68784,0.976
0.977,0.073065,0.231679,2.14937e-05,0.0510136,0,0,0.0990353,1.31301,-0.0402355,37.7784,183.683,-5.9055,0.977
0.978,0.077968,0.22884,1.07469e-05,0.0507329,0,0,0.136956,1.49668,-0.0464601,38.2427,171.091,-5.98822,0.978
0.979,0.0826266,0.226142,5.37343e-06,0.050183,0,0,0.175366,1.66776,-0.0528595,38.0494,159.121,-5.95952,0.979
0.98,0.0870524,0.22358,2.68671e-06,0.0495191,0,0,0.213603,1.82686,-0.0593087,37.4011,147.759,-5.85333,0.98
0.981,0.0912572,0.221145,1.34336e-06,0.0488175,0,0,0.251209,1.9746,-0.0657161,36.4697,136.99,-5.69851,0.981
0.982,0.0952518,0.218833,6.71679e-07,0.0481156,0,0,0.287896,2.11156,-0.0720189,35.3792,126.795,-5.51591,0.982
0.983,0.0990467,0.216635,3.35839e-07,0.0474311,0,0,0.323502,2.23833,-0.0781761,34.2118,117.151,-5.31947,0.983
0.984,0.102652,0.214548,1.6792e-07,0.046772,0,0,0.357947,2.35545,-0.0841615,33.019,108.036,-5.11799,0.984
0.985,0.106077,0.212565,8.39598e-08,0.0461414,0,0,0.391205,2.46345,-0.0899592,31.8319,99.4248,-4.91687,0.985
0.986,0.109331,0.210682,4.19799e-08,0.0455401,0,0,0.423277,2.56284,-0.09556,30.6684,91.2941,-4.7193,0.986
0.987,0.112422,0.208892,2.099e-08,0.0449677,0,0,0.454187,2.65409,-0.100959,29.5382,83.6204,-4.52709,0.987
0.988,0.115358,0.207192,1.0495e-08,0.0444235,0,0,0.483966,2.73768,-0.106154,28.4465,76.381,-4.34123,0.988
0.989,0.118148,0.205577,5.2068e-05,0.0439062,0,0,0.512651,2.81402,-0.111146,27.3951,69.5543,-4.16219,0.989
