BST,AMR,ALR,AIR,ASR,ASO,AIO,RX,RY,RZ,RXu,RYu,RZu,SST
0.93,0.12263,0,0.19265,0,0.0112665,0,-8.15904,-6.12028,1.04699,-0.0107743,-0.00502084,0.0249254,0.93
0.931,0.12263,0,0.19265,0,0.0112665,0,-8.15905,-6.12029,1.04702,-0.010555,-0.00491606,0.0245124,0.931
0.932,0.12263,0,0.19265,0,0.0112665,0,-8.15906,-6.1203,1.04704,-0.0103401,-0.00481345,0.0241063,0.932
0.933,0.12263,0,0.19265,0,0.0112665,0,-8.15907,-6.12031,1.04706,-0.0101295,-0.00471299,0.0237068,0.933
0.934,0.12263,0,0.19265,0,0.0112665,0,-8.15907,-6.12032,1.04709,-0.00992314,-0.00461461,0.0233139,0.934
0.935,0.12263,0,0.19265,0,0.0112665,0,-8.15908,-6.12033,1.04711,-0.00972097,-0.00451828,0.0229275,0.935
0.936,0.12263,0,0.19265,0,0.0112665,0,-8.15909,-6.12033,1.04713,-0.00952289,-0.00442396,0.0225475,0.936
0.937,0.12263,0,0.19265,0,0.0112665,0,-8.15909,-6.12034,1.04715,-0.00932881,-0.0043316,0.0221737,0.937
0.938,0.12263,0,0.19265,0,0.0112665,0,-8.1591,-6.12035,1.04718,-0.00913865,-0.00424116,0.0218061,0.938
0.939,0.12263,0,0.172355,0.0202946,0.0112665,0,-8.15911,-6.12036,1.0472,-0.00895233,-0.00415261,0.0214446,0.939
0.94,0.12263,0,0.122952,0.0696977,0.0112665,0,-8.15912,-6.12036,1.04722,15.035,-0.199862,-2.48621,0.94
0.941,0.109001,0.0136286,0.0684506,0.124605,0.0112665,0,-8.14435,-6.12021,1.04471,59.5644,-0.77931,-9.90809,0.941
0.942,0.0846073,0.0380227,0.0342253,0.176726,0.0112665,0,-8.08585,-6.11958,1.03474,122.848,11.7093,-20.4554,0.942
0.943,0.0590465,0.0638561,0.0171126,0.223863,0.0112665,0,-7.96499,-6.1051,1.01603,186.776,42.5774,-31.1088,0.943
0.944,0.0356986,0.0879644,0.00855632,0.266184,0.0112665,0,-7.78088,-6.05863,0.990976,242.409,85.0038,-40.3926,0.944
0.945,0.0178493,0.109617,0.00427816,0.303835,0.0112665,0,-7.5415,-5.96894,0.962303,288.384,131.602,-48.1059,0.945
0.946,0.00892466,0.129023,0.00213908,0.335945,0.00939409,0.00187236,-7.25629,-5.83216,0.93172,325.834,176.263,-54.4622,0.946
0.947,0.00446233,0.146112,0.00106954,0.361393,0.0066625,0.00460395,-6.93371,-5.65043,0.899792,355.756,214.161,-58.8371,0.947
0.948,0.00223116,0.160403,0.00053477,0.379073,0.00385829,0.00744561,-6.58117,-5.43073,0.867079,378.593,244.652,-61.3163,0.948
0.949,0.00111558,0.171376,0.000267385,0.388056,0.00192914,0.0101448,-6.2057,-5.18067,0.834059,394.388,268.135,-62.237,0.949
0.95,0.000557791,0.178552,0.000133693,0.387733,0.000964572,0.0126504,-5.8143,-4.90737,0.801037,402.992,285.079,-61.9983,0.95
0.951,0.000278896,0.181532,6.68463e-05,0.382967,0.000482286,0.0149864,-5.41412,-4.61748,0.768116,404.169,295.777,-60.8087,0.951
0.952,0.000139448,0.180803,3.34231e-05,0.376124,0.000241143,0.0171174,-5.01259,-4.31729,0.73538,399.659,300.58,-58.973,0.952
0.953,6.97239e-05,0.178306,1.67116e-05,0.368408,0.000120572,0.0189803,-4.61538,-4.0127,0.702803,391.328,300.141,-56.7586,0.953
0.954,3.4862e-05,0.174993,8.35578e-06,0.360432,6.02858e-05,0.0205106,-4.22633,-3.70897,0.6703,380.687,295.921,-54.3749,0.954
0.955,1.7431e-05,0.17135,4.17789e-06,0.352506,3.01429e-05,0.0216499,-3.84774,-3.40984,0.637814,368.807,289.26,-51.9742,0.955
0.956,8.71549e-06,0.167624,2.08895e-06,0.344785,1.50714e-05,0.0223459,-3.48087,-3.11775,0.60531,356.398,281.161,-49.6638,0.956
0.957,0.000758386,0.163941,1.04447e-06,0.337343,7.53572e-06,0.0225517,-3.12624,-2.83409,0.57276,343.909,272.306,-47.5189,0.957
0.958,0.00414465,0.160362,5.22236e-07,0.330212,3.76786e-06,0.0223745,-2.78394,-2.5596,0.540123,331.63,262.772,-45.596,0.958
0.959,0.00870417,0.156918,2.61118e-07,0.323402,1.88393e-06,0.0220195,-2.45378,-2.29492,0.507311,319.753,251.736,-43.9063,0.959
0.96,0.0137107,0.15362,1.30559e-07,0.316912,9.41965e-07,0.0215866,-2.13535,-2.04154,0.474196,308.325,239.493,-42.4014,0.96
0.961,0.0188069,0.150471,6.52796e-08,0.310733,4.70982e-07,0.0211261,-1.82822,-1.80063,0.440726,297.345,226.571,-41.0288,0.961
0.962,0.0238198,0.147471,0.00470861,0.304855,2.35491e-07,0.020663,-1.53194,-1.57287,0.40693,286.796,213.433,-39.7473,0.962
0.963,0.0286691,0.144616,0.0116415,0.299266,1.17746e-07,0.0202096,-1.24608,-1.35845,0.37289,274.892,200.581,-38.2345,0.963
0.964,0.03332,0.1419,0.0194584,0.293954,5.88728e-08,0.0197716,-0.971986,-1.15708,0.339017,261.616,188.219,-36.4729,0.964
0.965,0.037761,0.139318,0.0275002,0.288905,2.94364e-08,0.0193517,-0.711043,-0.96827,0.305735,247.465,176.419,-34.538,0.965
0.966,0.0419915,0.136863,0.0354482,0.284107,1.47182e-08,0.0189506,-0.464124,-0.791436,0.273385,232.96,165.193,-32.5134,0.966
0.967,0.0460166,0.13453,0.0431531,0.279549,7.3591e-09,0.0185684,-0.231595,-0.625985,0.242207,218.499,154.531,-30.465,0.967
0.968,0.0498435,0.132313,0.05055,0.275217,3.67955e-09,0.0182046,-0.0134218,-0.471332,0.212365,204.348,144.414,-28.4385,0.968
0.969,0.0534808,0.130207,0.0576159,0.271102,0.000242997,0.0178585,0.190692,-0.326911,0.18396,190.669,134.821,-26.463,0.969
