BST,AMR,ALR,AIR,ASR,ASO,AIO,RX,RY,RZ,RXu,RYu,RZu,SST
0.93,0,0.107746,0.195165,0,0.0119883,0,-8.71574,7.51629,1.11645,-0.0185964,0.0230517,-0.0528996,0.93
0.931,0,0.107746,0.195165,0,0.0119883,0,-8.71575,7.51633,1.1164,-0.0182556,0.0226311,-0.0521094,0.931
0.932,0,0.107746,0.195165,0,0.0119883,0,-8.71577,7.51636,1.11636,-0.0179211,0.0222181,-0.0513307,0.932
0.933,0,0.107746,0.195165,0,0.0119883,0,-8.71578,7.51639,1.11631,-0.0175928,0.0218127,-0.0505635,0.933
0.934,0,0.107746,0.195165,0,0.0119883,0,-8.71579,7.51641,1.11626,-0.0172706,0.0214146,-0.0498076,0.934
0.935,0,0.107746,0.195165,0,0.0119883,0,-8.7158,7.51644,1.11621,-0.0169543,0.0210239,-0.0490627,0.935
0.936,0,0.107746,0.195165,0,0.0119883,0,-8.71581,7.51647,1.11617,-0.0166439,0.0206402,-0.0483288,0.936
0.937,0,0.107746,0.195165,0,0.0119883,0,-8.71582,7.5165,1.11612,-0.0163392,0.0202636,-0.0476056,0.937
0.938,0,0.107746,0.195165,0,0.0119883,0,-8.71583,7.51653,1.11608,-0.0160402,0.0198938,-0.0468931,0.938
0.939,0,0.107746,0.195165,0,0.0119883,0,-8.71584,7.51655,1.11603,-0.0157467,0.0195308,-0.046191,0.939
0.94,0,0.107746,0.195165,0,0.0119883,0,-8.71585,7.51658,1.11599,-0.0154586,0.0191745,-0.0454993,0.94
0.941,0,0.107746,0.195165,0,0.0119883,0,-8.71586,7.51661,1.11595,-0.0151758,0.0188246,-0.0448177,0.941
0.942,0,0.107746,0.17436,0.0208049,0.0119883,0,-8.71587,7.51663,1.11591,-0.0148983,0.0184811,-0.0441462,0.942
0.943,0.0151746,0.0925717,0.120978,0.0741863,0.0119883,0,-8.71588,7.51666,1.11587,15.4917,-0.0828135,-2.62787,0.943
0.944,0.0512528,0.0564935,0.0614811,0.1341,0.0119883,0,-8.70005,7.51697,1.11323,63.434,-15.846,-10.6176,0.944
0.945,0.0912927,0.0282468,0.0307405,0.191411,0.0119883,0,-8.63491,7.50291,1.10023,133.02,-61.1557,-22.2151,0.945
0.946,0.129359,0.0141234,0.0153703,0.243607,0.0119883,0,-8.49779,7.44579,1.06882,202.55,-119.641,-33.7874,0.946
0.947,0.163894,0.00706169,0.00768513,0.290857,0.0119883,0,-8.28856,7.33245,1.01729,264.35,-176.352,-44.0147,0.947
0.948,0.19507,0.00353084,0.00384257,0.333357,0.010889,0.00109932,-8.01533,7.16429,0.947739,316.9,-226.189,-52.6093,0.948
0.949,0.222924,0.00176542,0.00192128,0.37005,0.0076871,0.00430123,-7.68792,6.94764,0.863446,360.649,-268.334,-59.1556,0.949
0.95,0.246758,0.000882711,0.000960642,0.399638,0.00401641,0.00799391,-7.31575,6.68964,0.768226,395.998,-303.297,-63.0382,0.95
0.951,0.265748,0.000441356,0.000480321,0.420918,0.0020082,0.0116059,-6.90789,6.39684,0.666387,423.234,-331.591,-64.6681,0.951
0.952,0.279128,0.000220678,0.00024016,0.432873,0.0010041,0.0149735,-6.47299,6.07543,0.561654,442.458,-353.346,-64.8597,0.952
0.953,0.286228,0.000110339,0.00012008,0.434637,0.000502051,0.0180887,-6.01943,5.73165,0.456785,453.443,-368.459,-63.906,0.953
0.954,0.28646,5.51695e-05,6.00401e-05,0.430272,0.000251026,0.0209603,-5.55573,5.37192,0.354079,455.822,-376.691,-61.8243,0.954
0.955,0.283153,2.75847e-05,3.00201e-05,0.423038,0.000125513,0.023524,-5.0907,5.00298,0.255644,451.05,-377.711,-58.8491,0.955
0.956,0.278191,1.37924e-05,1.501e-05,0.41456,6.27564e-05,0.0256907,-4.63158,4.63199,0.163159,441.332,-373.098,-55.3356,0.956
0.957,0.272526,6.89618e-06,7.50501e-06,0.405661,3.13782e-05,0.0273734,-4.18334,4.26457,0.0775977,428.577,-364.707,-51.6057,0.957
0.958,0.266641,3.44809e-06,3.75251e-06,0.396758,1.56891e-05,0.028497,-3.74894,3.9046,-0.00069205,414.184,-354.048,-47.9076,0.958
0.959,0.260781,1.72405e-06,1.87625e-06,0.388056,7.84455e-06,0.0289955,-3.32991,3.55445,-0.0718115,399.093,-342.197,-44.4175,0.959
0.96,0.255066,8.62023e-07,9.38127e-07,0.379656,3.92227e-06,0.0288793,-2.92683,3.21541,-0.136154,383.901,-329.862,-41.2557,0.96
0.961,0.249555,4.31011e-07,4.69063e-07,0.371601,1.96114e-06,0.0284746,-2.53967,2.88808,-0.194291,368.968,-317.487,-38.4859,0.961
0.962,0.244274,2.15506e-07,2.34532e-07,0.363906,9.80568e-07,0.0279395,-2.16805,2.57261,-0.246874,354.484,-305.321,-36.0645,0.962
0.963,0.23923,1.07753e-07,1.17266e-07,0.356571,4.90284e-07,0.0273535,-1.81143,2.26887,-0.294511,340.537,-293.5,-33.9282,0.963
0.964,0.234422,5.38764e-08,5.86329e-08,0.349587,2.45142e-07,0.0267562,-1.46918,1.97659,-0.337734,327.164,-282.093,-32.0202,0.964
0.965,0.229845,2.69382e-08,2.93165e-08,0.342943,1.22571e-07,0.0261674,-1.14066,1.69541,-0.376999,314.372,-271.133,-30.2964,0.965
0.966,0.225492,1.34691e-08,1.46582e-08,0.336626,6.12855e-08,0.0255968,-0.825235,1.42494,-0.412703,302.151,-260.628,-28.7245,0.966
0.967,0.221352,6.73455e-09,0.00412308,0.330621,3.06428e-08,0.0250485,-0.522276,1.16475,-0.445188,290.484,-250.575,-27.2812,0.967
0.968,0.217417,3.36728e-09,0.0108565,0.324914,1.53214e-08,0.0245242,-0.23119,0.914435,-0.474759,277.798,-240.834,-25.6907,0.968
0.969,0.213677,1.68364e-09,0.0186619,0.319492,7.66069e-09,0.0240242,0.0470336,0.673707,-0.501424,263.82,-231.363,-23.8986,0.969
0.97,0.210123,8.41819e-10,0.0267816,0.314339,3.83035e-09,0.0235481,0.311132,0.442325,-0.525135,248.988,-222.178,-21.9717,0.97
0.971,0.206747,0.00136107,0.0348477,0.309443,1.91517e-09,0.0230952,0.56028,0.220031,-0.5459,233.823,-213.303,-19.9924,0.971
0.972,0.203539,0.004667,0.0426868,0.304792,9.57586e-10,0.0226645,0.794172,0.00654254,-0.563806,218.743,-204.057,-18.0271,0.972
0.973,0.200491,0.00881416,0.0502222,0.300373,4.78793e-10,0.0222551,1.01292,-0.197745,-0.579003,204.027,-193.781,-16.1199,0.973
0.974,0.197595,0.0132573,0.057425,0.296175,2.39397e-10,0.0218661,1.2169,-0.391781,-0.591695,189.842,-182.699,-14.2961,0.974
0.975,0.194844,0.0177299,0.0642897,0.292187,0.000244437,0.0214964,1.40667,-0.574742,-0.602108,176.277,-171.217,-12.5687,0.975
0.976,0.19223,0.0221048,0.0708223,0.288398,0.000654114,0.0211452,1.58286,-0.746216,-0.61047,163.386,-159.682,-10.9983,0.976
0.977,0.189747,0.0263239,0.0770338,0.284798,0.00113205,0.0208114,1.74616,-0.90614,-0.617054,151.184,-148.344,-9.59618,0.977
0.978,0.187388,0.0303635,0.0829375,0.281378,0.00163046,0.0204944,1.89727,-1.05471,-0.622126,139.656,-137.367,-8.34261,0.978
0.979,0.185147,0.0342168,0.0885474,0.27813,0.00212615,0.0201932,2.03685,-1.19228,-0.625917,128.776,-126.845,-7.2129,0.979
0.98,0.183018,0.0378854,0.0938776,0.275043,0.00260815,0.019907,2.16557,-1.3193,-0.628617,118.516,-116.825,-6.1856,0.98
0.981,0.180995,0.0413745,0.0989415,0.272111,0.0030716,0.0196351,2.28405,-1.43627,-0.630384,108.844,-107.326,-5.24412,0.981
0.982,0.179074,0.0446911,0.103753,0.269326,0.00351465,0.0193768,2.39287,-1.54372,-0.631347,99.7312,-98.3461,-4.37611,0.982
0.983,0.177249,0.0478429,0.108323,0.26668,0.00393694,0.0191314,2.49259,-1.64217,-0.631614,91.1483,-89.8731,-3.57239,0.983
0.984,0.175515,0.0508376,0.112665,0.264166,0.00433882,0.0188983,2.58375,-1.73211,-0.631274,83.0674,-81.8894,-2.82604,0.984
0.985,0.173867,0.0536828,0.11679,0.261778,0.00472094,0.0186769,2.66684,-1.81404,-0.630405,75.4622,-74.3741,-2.13163,0.985
0.986,0.172302,0.0563858,0.120709,0.259509,0.00508414,0.0184665,2.74235,-1.88844,-0.629073,68.3076,-67.3052,-1.4848,0.986
0.987,0.170816,0.0589538,0.124431,0.257354,0.00542926,0.0182666,2.81071,-1.95573,-0.627335,61.5797,-60.6604,-0.881857,0.987
0.988,0.169403,0.0613934,0.127968,0.255306,0.00575717,0.0180768,2.87236,-2.01637,-0.62524,55.2558,-54.4178,-0.319648,0.988
0.989,0.168061,0.063711,0.131328,0.253361,0.0060687,0.0178964,2.9277,-2.07073,-0.622831,49.3143,-48.5561,0.204624,0.989
0.99,0.166787,0.0659127,0.13452,0.251513,0.00636467,0.017725,2.97712,-2.11921,-0.620145,43.7348,-43.0551,0.693465,0.99
0.991,0.165576,0.0680044,0.137552,0.249758,0.00664585,0.0175622,3.02096,-2.16217,-0.617214,38.4978,-37.8952,1.14916,0.991
0.992,0.164425,0.0699915,0.140433,0.24809,0.00691297,0.0174076,3.05958,-2.19996,-0.614067,33.585,-33.0578,1.57378,0.992
0.993,0.163332,0.0718793,0.143169,0.246506,0.00716674,0.0172607,3.09329,-2.23288,-0.610729,28.9787,-28.5255,1.96925,0.993
0.994,0.162294,0.0736726,0.145769,0.245,0.00740782,0.0171211,3.1224,-2.26126,-0.607221,24.6624,-24.2814,2.33736,0.994
0.995,0.161308,0.0753763,0.148239,0.243571,0.00763684,0.0169885,3.14721,-2.28538,-0.603561,20.6204,-20.3097,2.67973,0.995
0.996,0.160371,0.0769948,0.150585,0.242212,0.00785442,0.0168626,3.16798,-2.30551,-0.599767,16.8377,-16.5953,2.9979,0.996
0.997,0.15948,0.0785324,0.152814,0.240922,0.00806111,0.0167429,3.18498,-2.32191,-0.595854,13.3001,-13.1242,3.2933,0.997
0.998,0.158635,0.0799931,0.154932,0.239696,0.00825747,0.0166292,3.19844,-2.33484,-0.591833,9.99431,-9.88259,3.56724,0.998
0.999,0.157831,0.0813807,0.156943,0.238531,0.00844402,0.0165212,3.2086,-2.3445,-0.587717,6.90747,-6.8579,3.82098,0.999
1,0.157068,0.082699,0.158854,0.237425,0.00862123,0.0164186,3.21568,-2.35114,-0.583514,4.02754,-4.03794,4.05567,1
1.001,0.156343,0.0839514,0.16067,0.236374,0.00878959,0.0163211,3.21989,-2.35494,-0.579235,1.34307,-1.41128,4.2724,1.001
1.002,0.155654,0.0851411,0.162395,0.235375,0.00894952,0.0162285,3.22141,-2.35611,-0.574886,-1.15678,1.03297,4.47218,1.002
1.003,0.155,0.0862714,0.164033,0.234427,0.00910146,0.0161406,3.22043,-2.35483,-0.570476,-3.48229,3.30507,4.65597,1.003
1.004,0.154378,0.0873451,0.16559,0.233525,0.00924581,0.016057,3.21713,-2.35127,-0.566009,-5.64321,5.41475,4.82467,1.004
1.005,0.153788,0.0883652,0.167068,0.232669,0.00938293,0.0159776,3.21168,-2.34559,-0.561492,-7.64876,7.37123,4.97912,1.005
1.006,0.153227,0.0893342,0.168473,0.231856,0.0095132,0.0159022,3.20421,-2.33795,-0.55693,-9.50769,9.18323,5.12011,1.006
1.007,0.152694,0.0902548,0.169808,0.231083,0.00963696,0.0158306,3.19489,-2.3285,-0.552327,-11.2283,10.859,5.2484,1.007
1.008,0.152187,0.0911294,0.171076,0.230349,0.00975453,0.0157625,3.18385,-2.31736,-0.547688,-12.8184,12.4064,5.36469,1.008
1.009,0.151706,0.0919603,0.17228,0.229652,0.0108714,0.0146926,3.17122,-2.30468,-0.543017,-14.2855,13.8327,5.46965,1.009
1.01,0.144146,0.0998533,0.183722,0.218691,0.0114299,0.0141788,3.15713,-2.29056,-0.538317,-15.4882,15.1632,5.10355,1.01
1.011,0.140515,0.1038,0.189443,0.213428,0.0117091,0.013922,3.14181,-2.27514,-0.534053,-24.2219,23.4457,6.01129,1.011
1.012,0.1387,0.105773,0.192304,0.210796,0.0118487,0.0137935,3.11777,-2.2514,-0.529332,-32.7104,31.45,7.00908,1.012
1.013,0.137792,0.10676,0.193734,0.20948,0.0119185,0.0137293,3.08527,-2.21962,-0.52404,-38.9709,37.3342,7.77014,1.013
1.014,0.137338,0.107253,0.194449,0.208823,0.0119534,0.0136972,3.04652,-2.18192,-0.518286,-42.973,41.0811,8.2611,1.014
1.014,0.137338,0.107253,0.194449,0.208823,0.0119534,0.0136972,3.00378,-2.14046,-0.512215,-45.2258,43.1755,8.5354,1.015
1.015,0.137111,0.1075,0.194807,0.208494,0.0119709,0.0136811,2.95879,-2.09689,-0.50595,-46.0172,43.892,8.62276,1.016
1.016,0.136998,0.107623,0.194986,0.208329,0.0119796,0.0136731,2.91301,-2.05261,-0.4996,-46.2726,44.102,8.64466,1.017
1.017,0.136941,0.107685,0.195075,0.208247,0.011984,0.0136691,2.86696,-2.00813,-0.493204,-46.1127,43.9205,8.61391,1.018
1.018,0.136913,0.107715,0.19512,0.208206,0.0119861,0.0136671,2.82107,-1.96383,-0.486793,-45.6689,43.4721,8.54636,1.019
1.019,0.136898,0.107731,0.195142,0.208185,0.0119872,0.0136661,2.77562,-1.91999,-0.480393,-45.0459,42.8555,8.45504,1.02
1.02,0.136891,0.107739,0.195153,0.208175,0.0119878,0.0136656,2.73079,-1.87678,-0.47402,-44.3169,42.1399,8.34924,1.021
1.021,0.136888,0.107742,0.195159,0.20817,0.0119881,0.0136653,2.68668,-1.83429,-0.467684,-43.5299,41.3707,8.23509,1.022
1.022,0.136886,0.107744,0.195162,0.208167,0.0119882,0.0136652,2.64335,-1.79258,-0.461394,-42.7152,40.5763,8.11648,1.023
1.023,0.136885,0.107745,0.195163,0.208166,0.0119883,0.0136651,2.60083,-1.75167,-0.455155,-41.8912,39.774,7.9958,1.024
1.024,0.136885,0.107746,0.195164,0.208165,0.0119883,0.0136651,2.55913,-1.71157,-0.448969,-41.0686,38.9742,7.87448,1.025
1.025,0.136884,0.107746,0.195164,0.208165,0.0119883,0.0136651,2.51825,-1.67229,-0.44284,-40.2539,38.1827,7.75336,1.026
1.026,0.136884,0.107746,0.195164,0.208165,0.0119883,0.0136651,2.47817,-1.6338,-0.436769,-39.4506,37.4029,7.63296,1.027
1.027,0.136884,0.107746,0.195164,0.208165,0.0119883,0.0136651,2.43889,-1.5961,-0.430758,-38.6606,36.6366,7.51356,1.028
1.028,0.136884,0.107746,0.195164,0.208165,0.0119883,0.0136651,2.4004,-1.55918,-0.424808,-37.8848,35.8846,7.39533,1.029
1.029,0.136884,0.107746,0.195164,0.208165,0.0119883,0.0136651,2.36267,-1.52302,-0.41892,-37.1238,35.1473,7.27838,1.03
1.03,0.136884,0.107746,0.195164,0.208165,0.0119883,0.0136651,2.3257,-1.4876,-0.413095,-36.3775,34.4247,7.16276,1.031
1.031,0.136884,0.107746,0.195165,0.208165,0.0119883,0.0136651,2.28947,-1.45291,-0.407333,-35.6459,33.7169,7.0485,1.032
1.032,0.136884,0.107746,0.195165,0.208165,0.0119883,0.0136651,2.25397,-1.41894,-0.401635,-34.9289,33.0235,6.93562,1.033
1.033,0.136884,0.107746,0.195165,0.208165,0.0119883,0.0136651,2.21918,-1.38567,-0.396002,-34.2262,32.3445,6.82414,1.034
1.034,0.136884,0.107746,0.195165,0.208165,0.0119883,0.0136651,2.18509,-1.35308,-0.390434,-33.5376,31.6794,6.71407,1.035
1.035,0.136884,0.107746,0.195165,0.208165,0.0119883,0.0136651,2.15168,-1.32117,-0.384931,-32.8628,31.028,6.6054,1.036
1.036,0.136884,0.107746,0.195165,0.208165,0.0119883,0.0136651,2.11895,-1.28992,-0.379494,-32.2016,30.3901,6.49814,1.037
1.037,0.136884,0.107746,0.195165,0.208165,0.0119883,0.0136651,2.08687,-1.25931,-0.374122,-31.5536,29.7654,6.39228,1.038
1.038,0.136884,0.107746,0.195165,0.208165,0.0119883,0.0136651,2.05543,-1.22933,-0.368817,-30.9186,29.1536,6.28783,1.039
1.039,0.136884,0.107746,0.195165,0.208165,0.0119883,0.0136651,2.02462,-1.19997,-0.363577,-30.2964,28.5544,6.18477,1.04
1.04,0.136884,0.107746,0.195165,0.208165,0.0119883,0.0136651,1.99443,-1.17121,-0.358404,-29.6867,27.9676,6.08312,1.041
1.041,0.136884,0.107746,0.195165,0.208165,0.0119883,0.0136651,1.96485,-1.14305,-0.353297,-29.0893,27.3929,5.98285,1.042
1.042,0.136884,0.107746,0.195165,0.208165,0.0119883,0.0136651,1.93586,-1.11547,-0.348256,-28.5039,26.8301,5.88397,1.043
1.043,0.136884,0.107746,0.195165,0.208165,0.0119883,0.0136651,1.90746,-1.08846,-0.343281,-27.9302,26.279,5.78646,1.044
1.044,0.136884,0.107746,0.195165,0.208165,0.0119883,0.0136651,1.87962,-1.062,-0.338371,-27.3681,25.7392,5.69033,1.045
1.045,0.136884,0.107746,0.195165,0.208165,0.0119883,0.0136651,1.85234,-1.03609,-0.333527,-26.8172,25.2105,5.59556,1.046
1.046,0.136884,0.107746,0.195165,0.208165,0.0119883,0.0136651,1.82561,-1.01071,-0.328749,-26.2774,24.6928,5.50214,1.047
1.047,0.136884,0.107746,0.195165,0.208165,0.0119883,0.0136651,1.79942,-0.985854,-0.324035,-25.7485,24.1857,5.41007,1.048
1.048,0.136884,0.107746,0.195165,0.208165,0.0119883,0.0136651,1.77375,-0.961511,-0.319387,-25.2302,23.6891,5.31934,1.049
1.049,0.136884,0.107746,0.195165,0.208165,0.0119883,0.0136651,1.74859,-0.937668,-0.314803,-24.7223,23.2028,5.22992,1.05
1.05,0.136884,0.107746,0.195165,0.208165,0.0119883,0.0136651,1.72395,-0.914317,-0.310282,-24.2247,22.7265,5.14183,1.051
1.051,0.136884,0.107746,0.195165,0.208165,0.0119883,0.0136651,1.69979,-0.891446,-0.305826,-23.737,22.26,5.05504,1.052
1.052,0.136884,0.107746,0.195165,0.208165,0.0119883,0.0136651,1.67612,-0.869046,-0.301433,-23.2591,21.8031,4.96954,1.053
1.053,0.136884,0.107746,0.195165,0.208165,0.0119883,0.0136651,1.65293,-0.847106,-0.297103,-22.7909,21.3557,4.88533,1.054
