BST,AMR,ALR,AIR,ASR,ASO,AIO,RX,RY,RZ,RXu,RYu,RZu,SST
0.87,0.184809,0,0.00819655,0.0272713,0,0,0.778113,-10.5565,-0.129275,-0.0240879,-0.0618402,-0.00276992,0.87
0.871,0.184809,0,0.00819655,0.0272713,0,0,0.778089,-10.5565,-0.129277,-0.0236243,-0.0606603,-0.00274769,0.871
0.872,0.184809,0,0.00819655,0.0272713,0,0,0.778065,-10.5566,-0.129279,-0.0231696,-0.0595029,-0.00272534,0.872
0.873,0.184809,0,0.00819655,0.0272713,0,0,0.778041,-10.5567,-0.12928,-0.0227237,-0.0583676,-0.00270289,0.873
0.874,0.184809,0,0.00819655,0.0272713,0,0,0.778018,-10.5567,-0.129282,-0.0222863,-0.057254,-0.00268035,0.874
0.875,0.184809,0,0.00819655,0.0272713,0,0,0.777995,-10.5568,-0.129284,-0.0218575,-0.0561616,-0.00265773,0.875
0.876,0.184809,0,0.00819655,0.0272713,0,0,0.777973,-10.5568,-0.129286,-0.0214368,-0.05509,-0.00263504,0.876
0.877,0.184809,0,0.00819655,0.0272713,0,0,0.777951,-10.5569,-0.129288,-0.0210243,-0.0540389,-0.0026123,0.877
0.878,0.184809,0,0.00819655,0.0272713,0,0,0.77793,-10.5569,-0.12929,-0.0206197,-0.0530078,-0.0025895,0.878
0.879,0.184809,0,0.00819655,0.0272713,0,0,0.777909,-10.557,-0.129292,-0.020223,-0.0519964,-0.00256666,0.879
0.88,0.184809,0,0.00819655,0.0272713,0,0,0.777888,-10.557,-0.129294,-0.0198339,-0.0510043,-0.00254379,0.88
0.881,0.184809,0,0.00819655,0.0272713,0,0,0.777868,-10.5571,-0.129296,-0.0194522,-0.0500312,-0.0025209,0.881
0.882,0.184809,0,0.00819655,0.0272713,0,0,0.777848,-10.5571,-0.129298,-0.019078,-0.0490766,-0.002498,0.882
0.883,0.184809,0,0.00819655,0.0272713,0,0,0.777829,-10.5572,-0.1293,-0.0187109,-0.0481402,-0.00247509,0.883
0.884,0.184809,0,0.00819655,0.0272713,0,0,0.77781,-10.5572,-0.129301,-0.0183509,-0.0472217,-0.00245218,0.884
0.885,0.184809,0,0.00819655,0.0272713,0,0,0.777791,-10.5573,-0.129303,-0.0179979,-0.0463207,-0.00242929,0.885
0.886,0.184809,0,0.00819655,0.0272713,0,0,0.777773,-10.5573,-0.129305,-0.0176517,-0.0454369,-0.00240641,0.886
0.887,0.184809,0,0.00819655,0.0272713,0,0,0.777755,-10.5574,-0.129307,-0.0173121,-0.0445699,-0.00238355,0.887
0.888,0.184809,0,0.00819655,0.0272713,0,0,0.777737,-10.5574,-0.129309,-0.0169791,-0.0437195,-0.00236073,0.888
0.889,0.184809,0,0.00819655,0.0272713,0,0,0.77772,-10.5575,-0.12931,-0.0166525,-0.0428854,-0.00233794,0.889
0.89,0.184809,0,0.00819655,0.0272713,0,0,0.777703,-10.5575,-0.129312,-0.0163322,-0.0420671,-0.0023152,0.89
0.891,0.184809,0,0.00819655,0.0272713,0,0,0.777686,-10.5575,-0.129314,-0.016018,-0.0412644,-0.00229251,0.891
0.892,0.184809,0,0.00819655,0.0272713,0,0,0.77767,-10.5576,-0.129316,-0.0157099,-0.0404771,-0.00226987,0.892
0.893,0.184809,0,0.00819655,0.0272713,0,0,0.777654,-10.5576,-0.129318,-0.0154078,-0.0397048,-0.0022473,0.893
0.894,0.184809,0,0.00819655,0.0272713,0,0,0.777638,-10.5577,-0.129319,-0.0151114,-0.0389472,-0.00222479,0.894
0.895,0.184809,0,0.00819655,0.0272713,0,0,0.777623,-10.5577,-0.129321,-0.0148208,-0.0382041,-0.00220236,0.895
0.896,0.184809,0,0.00819655,0.0272713,0,0,0.777608,-10.5577,-0.129323,-0.0145358,-0.0374752,-0.00218,0.896
0.897,0.184809,0,0.00819655,0.0272713,0,0,0.777593,-10.5578,-0.129324,-0.0142563,-0.0367601,-0.00215772,0.897
0.898,0.184809,0,0.00819655,0.0272713,0,0,0.777578,-10.5578,-0.129326,-0.0139821,-0.0360587,-0.00213553,0.898
0.899,0.184809,0,0.00819655,0.0272713,0,0,0.777564,-10.5579,-0.129328,-0.0137132,-0.0353707,-0.00211343,0.899
0.9,0.184809,0,0.00819655,0.0272713,0,0,0.77755,-10.5579,-0.129329,-0.0134496,-0.0346958,-0.00209142,0.9
0.901,0.184809,0,0.00819655,0.0272713,0,0,0.777536,-10.5579,-0.129331,-0.0131909,-0.0340338,-0.00206952,0.901
0.902,0.184809,0,0.00819655,0.0272713,0,0,0.777523,-10.558,-0.129333,-0.0129373,-0.0333845,-0.00204771,0.902
0.903,0.184809,0,0.00819655,0.0272713,0,0,0.77751,-10.558,-0.129334,-0.0126886,-0.0327475,-0.00202601,0.903
0.904,0.184809,0,0.00819655,0.0272713,0,0,0.777497,-10.558,-0.129336,-0.0124446,-0.0321226,-0.00200442,0.904
0.905,0.184809,0,0.00819655,0.0272713,0,0,0.777484,-10.5581,-0.129338,-0.0122054,-0.0315097,-0.00198294,0.905
0.906,0.184809,0,0.00819655,0.0272713,0,0,0.777471,-10.5581,-0.129339,-0.0119707,-0.0309085,-0.00196158,0.906
0.907,0.184809,0,0.00819655,0.0272713,0,0,0.777459,-10.5581,-0.129341,-0.0117406,-0.0303188,-0.00194033,0.907
0.908,0.184809,0,0.00819655,0.0272713,0,0,0.777447,-10.5582,-0.129342,-0.0115149,-0.0297403,-0.00191921,0.908
0.909,0.184809,0,0.00819655,0.0272713,0,0,0.777435,-10.5582,-0.129344,-0.0112936,-0.0291728,-0.00189821,0.909
0.91,0.184809,0,0.00819655,0.0272713,0,0,0.777424,-10.5582,-0.129345,-0.0110765,-0.0286162,-0.00187734,0.91
0.911,0.184809,0,0.00819655,0.0272713,0,0,0.777412,-10.5582,-0.129347,-0.0108636,-0.0280702,-0.0018566,0.911
0.912,0.184809,0,0.00819655,0.0272713,0,0,0.777401,-10.5583,-0.129348,-0.0106548,-0.0275346,-0.00183599,0.912
0.913,0.184809,0,0.00819655,0.0272713,0,0,0.77739,-10.5583,-0.12935,-0.01045,-0.0270092,-0.00181551,0.913
0.914,0.184809,0,0.00819655,0.0272713,0,0,0.77738,-10.5583,-0.129351,-0.0102491,-0.0264939,-0.00179517,0.914
0.915,0.184809,0,0.00819655,0.0272713,0,0,0.777369,-10.5583,-0.129353,-0.0100521,-0.0259884,-0.00177496,0.915
0.916,0.184809,0,0.00819655,0.0272713,0,0,0.777359,-10.5584,-0.129354,-0.00985896,-0.0254925,-0.0017549,0.916
0.917,0.184809,0,0.00819655,0.0272713,0,0,0.777349,-10.5584,-0.129356,-0.0096695,-0.0250061,-0.00173497,0.917
0.918,0.184809,0,0.00819655,0.0272713,0,0,0.777339,-10.5584,-0.129357,-0.00948368,-0.0245289,-0.00171519,0.918
0.919,0.184809,0,0.00819655,0.0272713,0,0,0.777329,-10.5585,-0.129358,-0.00930144,-0.0240609,-0.00169555,0.919
0.92,0.184809,0,0.00819655,0.0272713,0,0,0.777319,-10.5585,-0.12936,-0.00912271,-0.0236018,-0.00167605,0.92
0.921,0.184809,0,0.00819655,0.0272713,0,0,0.77731,-10.5585,-0.129361,-0.00894742,-0.0231515,-0.00165671,0.921
0.922,0.184809,0,0.00819655,0.0272713,0,0,0.777301,-10.5585,-0.129363,-0.0087755,-0.0227098,-0.00163751,0.922
0.923,0.184809,0,0.00819655,0.0272713,0,0,0.777292,-10.5585,-0.129364,-0.00860689,-0.0222764,-0.00161846,0.923
0.924,0.184809,0,0.00819655,0.0272713,0,0,0.777283,-10.5586,-0.129365,-0.00844153,-0.0218514,-0.00159955,0.924
0.925,0.184809,0,0.00819655,0.0272713,0,0,0.777274,-10.5586,-0.129367,-0.00827935,-0.0214345,-0.0015808,0.925
0.926,0.184809,0,0.00819655,0.0272713,0,0,0.777266,-10.5586,-0.129368,-0.00812029,-0.0210255,-0.0015622,0.926
0.927,0.184809,0,0.00819655,0.0272713,0,0,0.777257,-10.5586,-0.129369,-0.00796429,-0.0206243,-0.00154376,0.927
0.928,0.184809,0,0.00819655,0.0272713,0,0,0.777249,-10.5587,-0.129371,-0.0078113,-0.0202308,-0.00152546,0.928
0.929,0.184809,0,0.00819655,0.0272713,0,0,0.777241,-10.5587,-0.129372,-0.00766125,-0.0198448,-0.00150732,0.929
0.93,0.184809,0,0.00819655,0.0272713,0,0,0.777233,-10.5587,-0.129373,-0.00751408,-0.0194661,-0.00148933,0.93
0.931,0.184809,0,0.00819655,0.0272713,0,0,0.777225,-10.5587,-0.129374,-0.00736975,-0.0190947,-0.0014715,0.931
0.932,0.184809,0,0.00819655,0.0272713,0,0,0.777218,-10.5587,-0.129376,-0.0072282,-0.0187303,-0.00145382,0.932
0.933,0.184809,0,0.00819655,0.0272713,0,0,0.77721,-10.5587,-0.129377,-0.00708937,-0.018373,-0.0014363,0.933
0.934,0.184809,0,0.00819655,0.0272713,0,0,0.777203,-10.5588,-0.129378,-0.00695321,-0.0180224,-0.00141893,0.934
0.935,0.184809,0,0.00819655,0.0272713,0,0,0.777196,-10.5588,-0.129379,-0.00681967,-0.0176785,-0.00140172,0.935
0.936,0.184809,0,0.00819655,0.0272713,0,0,0.777189,-10.5588,-0.12938,-0.0066887,-0.0173412,-0.00138466,0.936
0.937,0.184809,0,0.00819655,0.0272713,0,0,0.777182,-10.5588,-0.129381,-0.00656025,-0.0170103,-0.00136776,0.937
0.938,0.184809,0,0.00819655,0.0272713,0,0,0.777175,-10.5588,-0.129383,-0.00643427,-0.0166857,-0.00135101,0.938
0.939,0.184809,0,0.00819655,0.0272713,0,0,0.777169,-10.5589,-0.129384,-0.00631072,-0.0163674,-0.00133442,0.939
0.94,0.160334,0.0244752,0.00819655,0.0272713,0,0,0.777162,-10.5589,-0.129385,-0.00618954,-0.0160551,-0.00131798,0.94
0.941,0.109766,0.075043,0.00819655,0.0272713,0,0,0.777156,-10.5589,-0.129386,0.132841,23.2121,-0.0244537,0.941
0.942,0.0555513,0.129747,0.00819655,0.0272713,0,0,0.777225,-10.5357,-0.129731,0.492983,83.4134,-0.0844418,0.942
0.943,0.0277757,0.181036,0.0126123,0.0228556,0,0,0.777492,-10.4523,-0.130968,0.989188,166.577,-0.164593,0.943
0.944,0.0138878,0.227072,0.0258442,0.0114278,0,0,0.778034,-10.2857,-0.133434,-1.9131,247.853,0.32951,0.944
0.945,0.00694392,0.268211,0.0407697,0.00571389,0,0,0.77557,-10.0379,-0.136519,-12.6058,318.821,2.13512,0.945
0.946,0.00347196,0.304485,0.054887,0.00285695,0,0,0.762578,-9.71906,-0.138734,-25.9177,378.718,4.39265,0.946
0.947,0.00173598,0.334959,0.0674984,0.00142847,0,0,0.736549,-9.34032,-0.139391,-39.1773,428.43,6.65626,0.947
0.948,0.00086799,0.358529,0.0786361,0.000714237,0,0,0.697561,-8.91184,-0.138228,-51.2181,468.662,8.7292,0.948
0.949,0.000433995,0.374152,0.0883689,0.000357118,0,0,0.646817,-8.4431,-0.135168,-61.6973,499.633,10.551,0.949
0.95,0.000216997,0.380945,0.0964805,0.000178559,0,0,0.585848,-7.94338,-0.130204,-70.5978,521.161,12.1149,0.95
0.951,0.000108499,0.379687,0.102697,8.92796e-05,0,0,0.516197,-7.42212,-0.123353,-77.9054,532.824,13.4146,0.951
0.952,5.42494e-05,0.374583,0.106773,4.46398e-05,0,0,0.439414,-6.8892,-0.114666,-83.5559,534.88,14.4354,0.952
0.953,2.71247e-05,0.367694,0.108498,2.23199e-05,0,0,0.357107,-6.35423,-0.104258,-87.4542,529.668,15.1579,0.953
0.954,1.35623e-05,0.360072,0.1077,1.11599e-05,0,0,0.270973,-5.82447,-0.0923286,-89.4937,519.544,15.5612,0.954
0.955,6.78117e-06,0.352256,0.104498,5.57997e-06,0,0,0.182816,-5.30486,-0.0791567,-89.5721,506.34,15.626,0.955
0.956,3.39059e-06,0.344517,0.100089,2.78999e-06,0,0,0.0945447,-4.79847,-0.065086,-87.6961,491.352,15.3521,0.956
0.957,1.69529e-06,0.336992,0.0950538,1.39499e-06,0,0,0.00806928,-4.3071,-0.0504936,-84.3356,475.495,14.8172,0.957
0.958,8.47646e-07,0.329745,0.0896898,6.97497e-07,0,0,-0.0751554,-3.8316,-0.0357016,-79.9725,459.366,14.1019,0.958
0.959,4.23823e-07,0.322804,0.0841451,3.48748e-07,0,0,-0.154143,-3.37225,-0.0209641,-74.9841,443.339,13.2698,0.959
0.96,2.11912e-07,0.316177,0.0784933,1.74374e-07,0,0,-0.228275,-2.92895,-0.00647658,-69.6332,427.635,12.3657,0.96
0.961,1.05956e-07,0.309862,0.0727693,8.71871e-08,0,0,-0.297188,-2.50137,0.00761114,-64.0908,412.379,11.4193,0.961
0.962,5.29779e-08,0.30385,0.066986,4.35936e-08,0,0,-0.360687,-2.08906,0.0211822,-58.4632,397.638,10.4497,0.962
0.963,0.00326477,0.298131,0.0611798,0.00235962,0,0,-0.418678,-1.69149,0.0341434,-52.8129,383.44,9.46864,0.963
0.964,0.00935196,0.292693,0.0554124,0.00669467,0,0,-0.471128,-1.30813,0.0464191,-46.2905,368.296,8.33589,0.964
0.965,0.0166283,0.287524,0.0497588,0.0118576,0,0,-0.517159,-0.939916,0.057786,-38.6148,351.597,7.00577,0.965
0.966,0.0242882,0.282612,0.0442828,0.0172507,0,0,-0.555607,-0.588396,0.0679664,-30.1084,333.769,5.53328,0.966
