Gap,Latency,+-
-250,225.1666666666666,3.060501048303474
-200,223.8333333333334,2.562550812504342
-150,223.3333333333334,4.802776974487434
-100,201,0.8944271909999159
-50,161.3333333333334,0.5163977794943223
0,129.8333333333334,0.408248290463863
50,106.3333333333333,0.816496580927726
100,83.83333333333331,0.408248290463863
150,75.16666666666669,0.752772652709081
200,71.33333333333331,0.816496580927726
250,69.66666666666669,0.5163977794943223
300,68.16666666666669,0.408248290463863
350,68.83333333333331,0.752772652709081
