TargX,eyeRx,+-
-19,-14.94486666666667,0.1032860312066652
-18,-14.7255,0.1628261445018378
-17,-14.619025,0.149272594604636
-16,-14.2412,0.1401102637211133
-15,-13.45734166666667,0.1006920097789956
-14,-12.64809166666667,0.1435718601089765
-13,-11.28634166666667,0.2685052038037569
-12,-10.11290416666667,0.2260788409325921
-11,-9.642515,0.2412184492981792
-10,-9.1574975,0.119408527267071
-9,-8.438350833333335,0.1382526876581318
-8,-7.331775833333334,0.1478130636653998
-7,-5.886215000000001,0.1340819320415692
-6,-4.298534545454546,0.1366016253463799
