/var/spool/sge/node176/job_scripts/1760505 - Theta X range: -12 to 12; Theta Y range:  -12 to 12
explicitDataBinaryFileN.bin: L:50 R:52 U:53 D:54 Z+:58 Z-:57
Thu Sep 24 13:54:02 BST 2015
Cols: weights file, axis, target angles (x/y/z), peakposn1, peakposn2, bestweight, meanpeakposn1, meanpeakposn2, eyeposAvg(SD) (x/y/z).
54,1,-10.000000/-4.000000/0.000000,29,33,0.814203,27.922409,31.622841,-10.121138(0.064368)/-4.020479(0.024254)/-0.075552(0.004826)
52,2,-10.000000/-4.000000/0.000000,29,33,0.429494,27.922409,31.622841,-10.121138(0.064368)/-4.020479(0.024254)/-0.075552(0.004826)
57,3,-10.000000/-4.000000/0.000000,29,33,0.171001,27.922409,31.622841,-10.121138(0.064368)/-4.020479(0.024254)/-0.075552(0.004826)
54,1,-10.000000/-5.000000/0.000000,29,33,0.804125,28.202744,31.984967,-9.836612(0.065624)/-4.951604(0.033797)/0.004938(0.002638)
52,2,-10.000000/-5.000000/0.000000,29,33,0.501483,28.202744,31.984967,-9.836612(0.065624)/-4.951604(0.033797)/0.004938(0.002638)
57,3,-10.000000/-5.000000/0.000000,29,33,0.161723,28.202744,31.984967,-9.836612(0.065624)/-4.951604(0.033797)/0.004938(0.002638)
54,1,-11.000000/2.000000/0.000000,25,33,0.869115,24.108383,31.737787,-10.886112(0.163187)/1.971052(0.035311)/-0.053902(0.006727)
50,2,-11.000000/2.000000/0.000000,25,33,0.088869,24.108383,31.737787,-10.886112(0.163187)/1.971052(0.035311)/-0.053902(0.006727)
57,3,-11.000000/2.000000/0.000000,25,33,0.192899,24.108383,31.737787,-10.886112(0.163187)/1.971052(0.035311)/-0.053902(0.006727)
54,1,-10.000000/3.000000/0.000000,24,32,0.760233,23.460608,30.868188,-10.052050(0.063946)/2.984196(0.024856)/0.001251(0.004676)
50,2,-10.000000/3.000000/0.000000,24,32,0.156970,23.460608,30.868188,-10.052050(0.063946)/2.984196(0.024856)/0.001251(0.004676)
57,3,-10.000000/3.000000/0.000000,24,32,0.170788,23.460608,30.868188,-10.052050(0.063946)/2.984196(0.024856)/0.001251(0.004676)
54,1,-10.000000/-6.000000/0.000000,30,34,0.818851,28.797021,32.512373,-9.957311(0.075246)/-5.948330(0.037330)/0.002851(0.003459)
