/var/spool/sge/node172/job_scripts/1886090 - Theta X range: -22 to 22; Theta Y range:  -22 to 22
explicitDataBinaryFileN.bin: L:50 R:52 U:53 D:54 Z+:58 Z-:57
Sat Sep 26 18:05:16 BST 2015
Cols: weights file, axis, target angles (x/y/z), peakposn1, peakposn2, bestweight, meanpeakposn1, meanpeakposn2, eyeposAvg(SD) (x/y/z).
54,1,-21.000000/5.000000/0.000000,24,43,4.477304,23.862730,39.227494,-21.046588(0.352941)/4.819219(0.119215)/0.124640(0.016259)
50,2,-21.000000/5.000000/0.000000,24,43,0.250277,23.862730,39.227494,-21.046588(0.352941)/4.819219(0.119215)/0.124640(0.016259)
57,3,-21.000000/5.000000/0.000000,24,43,0.468845,23.862730,39.227494,-21.046588(0.352941)/4.819219(0.119215)/0.124640(0.016259)
54,1,-22.000000/3.000000/0.000000,25,44,4.962299,24.464899,39.597977,-21.760613(0.509966)/3.179606(0.108945)/0.316360(0.014057)
50,2,-22.000000/3.000000/0.000000,25,44,0.078494,24.464899,39.597977,-21.760613(0.509966)/3.179606(0.108945)/0.316360(0.014057)
57,3,-22.000000/3.000000/0.000000,25,44,0.460226,24.464899,39.597977,-21.760613(0.509966)/3.179606(0.108945)/0.316360(0.014057)
54,1,-22.000000/4.000000/0.000000,25,43,5.045988,24.169235,39.757173,-21.766437(0.462903)/4.109008(0.135836)/0.299346(0.027315)
50,2,-22.000000/4.000000/0.000000,25,43,0.175991,24.169235,39.757173,-21.766437(0.462903)/4.109008(0.135836)/0.299346(0.027315)
57,3,-22.000000/4.000000/0.000000,25,43,0.466281,24.169235,39.757173,-21.766437(0.462903)/4.109008(0.135836)/0.299346(0.027315)
54,1,-21.000000/3.000000/0.000000,25,44,4.543909,24.372446,39.103211,-21.210837(0.437739)/3.000357(0.081179)/-0.042872(0.011598)
50,2,-21.000000/3.000000/0.000000,25,44,0.052570,24.372446,39.103211,-21.210837(0.437739)/3.000357(0.081179)/-0.042872(0.011598)
57,3,-21.000000/3.000000/0.000000,25,44,0.487136,24.372446,39.103211,-21.210837(0.437739)/3.000357(0.081179)/-0.042872(0.011598)
54,1,-22.000000/-1.000000/0.000000,27,43,5.743324,25.495170,39.636073,-21.684112(0.697195)/-0.680462(0.029351)/0.185654(0.054784)
52,2,-22.000000/-1.000000/0.000000,27,43,0.503871,25.495170,39.636073,-21.684112(0.697195)/-0.680462(0.029351)/0.185654(0.054784)
57,3,-22.000000/-1.000000/0.000000,27,43,0.464572,25.495170,39.636073,-21.684112(0.697195)/-0.680462(0.029351)/0.185654(0.054784)
54,1,-21.000000/-3.000000/0.000000,27,43,5.732432,26.150832,39.133767,-20.808212(0.328195)/-3.085706(0.076465)/0.141747(0.058133)
52,2,-21.000000/-3.000000/0.000000,27,43,0.846252,26.150832,39.133767,-20.808212(0.328195)/-3.085706(0.076465)/0.141747(0.058133)
57,3,-21.000000/-3.000000/0.000000,27,43,0.447732,26.150832,39.133767,-20.808212(0.328195)/-3.085706(0.076465)/0.141747(0.058133)
54,1,-21.000000/-2.000000/0.000000,27,42,4.976106,25.897932,39.033148,-20.802150(0.316217)/-1.827691(0.012059)/0.009865(0.011992)
52,2,-21.000000/-2.000000/0.000000,27,42,0.631332,25.897932,39.033148,-20.802150(0.316217)/-1.827691(0.012059)/0.009865(0.011992)
57,3,-21.000000/-2.000000/0.000000,27,42,0.447017,25.897932,39.033148,-20.802150(0.316217)/-1.827691(0.012059)/0.009865(0.011992)
54,1,-21.000000/6.000000/0.000000,24,42,4.547655,23.730949,39.112770,-21.040662(0.283690)/6.036385(0.097436)/-0.065592(0.018091)
50,2,-21.000000/6.000000/0.000000,24,42,0.371263,23.730949,39.112770,-21.040662(0.283690)/6.036385(0.097436)/-0.065592(0.018091)
57,3,-21.000000/6.000000/0.000000,24,42,0.497388,23.730949,39.112770,-21.040662(0.283690)/6.036385(0.097436)/-0.065592(0.018091)
54,1,-21.000000/8.000000/0.000000,24,43,4.500089,22.926728,40.768977,-21.039038(0.035446)/8.031047(0.083581)/-0.143320(0.047831)
50,2,-21.000000/8.000000/0.000000,24,43,0.563529,22.926728,40.768977,-21.039038(0.035446)/8.031047(0.083581)/-0.143320(0.047831)
57,3,-21.000000/8.000000/0.000000,24,43,0.485107,22.926728,40.768977,-21.039038(0.035446)/8.031047(0.083581)/-0.143320(0.047831)
54,1,-21.000000/-4.000000/0.000000,28,42,6.028931,26.395141,39.031978,-20.863100(0.261872)/-3.983176(0.052634)/0.139001(0.036147)
52,2,-21.000000/-4.000000/0.000000,28,42,0.963640,26.395141,39.031978,-20.863100(0.261872)/-3.983176(0.052634)/0.139001(0.036147)
57,3,-21.000000/-4.000000/0.000000,28,42,0.435217,26.395141,39.031978,-20.863100(0.261872)/-3.983176(0.052634)/0.139001(0.036147)
54,1,-21.000000/-5.000000/0.000000,28,42,6.996294,26.471963,39.053613,-21.187962(0.190343)/-5.014245(0.076052)/-0.045420(0.060028)
52,2,-21.000000/-5.000000/0.000000,28,42,1.141473,26.471963,39.053613,-21.187962(0.190343)/-5.014245(0.076052)/-0.045420(0.060028)
57,3,-21.000000/-5.000000/0.000000,28,42,0.457021,26.471963,39.053613,-21.187962(0.190343)/-5.014245(0.076052)/-0.045420(0.060028)
54,1,-22.000000/0.000000/0.000000,26,43,5.741679,25.228894,39.581662,-21.801025(0.367727)/0.093496(0.032633)/0.021421(0.020096)
52,2,-22.000000/0.000000/0.000000,26,43,0.406042,25.228894,39.581662,-21.801025(0.367727)/0.093496(0.032633)/0.021421(0.020096)
57,3,-22.000000/0.000000/0.000000,26,43,0.482342,25.228894,39.581662,-21.801025(0.367727)/0.093496(0.032633)/0.021421(0.020096)
54,1,-21.000000/-1.000000/0.000000,27,42,4.839081,25.604629,39.216219,-20.923075(0.332714)/-0.851482(0.017221)/0.078820(0.023792)
