/var/spool/sge/node167/job_scripts/36378 - Theta X range: -22 to 22; Theta Y range:  -22 to 22
explicitDataBinaryFileN.bin: L:50 R:52 U:53 D:54 Z+:58 Z-:57
Fri Nov  6 17:02:45 GMT 2015
Cols: weights file, axis, target angles (x/y/z), peakposn1, peakposn2, bestweight, meanpeakposn1, meanpeakposn2, eyeposAvg(SD) (x/y/z).
54,1,-14.000000/-6.000000/0.000000,29,38,2.125486,27.811472,35.700743,-12.744025(1.334275)/-6.271682(0.701640)/-0.268933(0.051481)
52,2,-14.000000/-6.000000/0.000000,29,38,1.033594,27.811472,35.700743,-12.744025(1.334275)/-6.271682(0.701640)/-0.268933(0.051481)
57,3,-14.000000/-6.000000/0.000000,29,38,0.282738,27.811472,35.700743,-12.744025(1.334275)/-6.271682(0.701640)/-0.268933(0.051481)
54,1,-13.000000/-10.000000/0.000000,31,39,1.858446,29.245631,36.672415,-12.927425(0.139677)/-10.037255(0.164445)/0.032420(0.036784)
52,2,-13.000000/-10.000000/0.000000,31,39,1.457459,29.245631,36.672415,-12.927425(0.139677)/-10.037255(0.164445)/0.032420(0.036784)
57,3,-13.000000/-10.000000/0.000000,31,39,0.214669,29.245631,36.672415,-12.927425(0.139677)/-10.037255(0.164445)/0.032420(0.036784)
54,1,-13.000000/-6.000000/0.000000,29,37,1.627863,27.941997,35.107251,-12.515000(1.138271)/-6.110720(0.542447)/0.004568(0.054228)
52,2,-13.000000/-6.000000/0.000000,29,37,0.866672,27.941997,35.107251,-12.515000(1.138271)/-6.110720(0.542447)/0.004568(0.054228)
57,3,-13.000000/-6.000000/0.000000,29,37,0.226849,27.941997,35.107251,-12.515000(1.138271)/-6.110720(0.542447)/0.004568(0.054228)
54,1,-14.000000/-8.000000/0.000000,30,38,2.745704,28.423776,36.372673,-14.274088(1.605012)/-6.380834(0.607474)/-0.413141(0.058289)
52,2,-14.000000/-8.000000/0.000000,30,38,1.094626,28.423776,36.372673,-14.274088(1.605012)/-6.380834(0.607474)/-0.413141(0.058289)
57,3,-14.000000/-8.000000/0.000000,30,38,0.327179,28.423776,36.372673,-14.274088(1.605012)/-6.380834(0.607474)/-0.413141(0.058289)
54,1,-14.000000/-5.000000/0.000000,29,37,2.401698,27.460344,35.222110,-13.855488(1.374765)/-4.916472(0.493843)/0.169304(0.034221)
52,2,-14.000000/-5.000000/0.000000,29,37,0.880662,27.460344,35.222110,-13.855488(1.374765)/-4.916472(0.493843)/0.169304(0.034221)
